BQMall__QP_32_nF_5_SR_32_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13190215014	4972355892	3147525774	407415	16259558	2044833	47	0	126	13189807552	4956096334	3145480815	0.0878072318534 %	0.00308876693494 %	0.225426819662 %	8.11821750965e-07 %	3.56324744897e-07 %	1.55174675177e-06 %
void	9169251689	5380229070	361620258	440035	3964200	21785686	9	0	5840	9168811645	5376264870	339828732	0.175640423669 %	0.00479902848046 %	0.44845979978 %	3.92258089683e-05 %	9.81541384756e-08 %	0.000101709391285 %
TComTrQuant::xRateDistOptQuant	6753136373	2543002452	1495555071	18636106	34395804	57117584	356	496	5368	6734499911	2508606152	1438432119	1.02068771651 %	0.275962234 %	2.26599194091 %	5.76369202087e-05 %	5.27162462502e-06 %	0.00014520035846 %
TComInterpolationFilter::filterHor	4997704244	2711950386	257933583	713037	7503754	15335637	36	12991	1589	4996991171	2704433641	242596357	0.295602977593 %	0.0142672908437 %	0.76903310831 %	0.000183443215303 %	7.20330740724e-07 %	0.000490928270336 %
TComRdCost::xGetSAD16	2139715116	578504901	37527777	50967	1574135	70212	18	3968	1	2139664131	576926798	37457564	0.061519200113 %	0.00238195260756 %	0.266925288012 %	0.000144679422721 %	8.41233483159e-07 %	0.000644284003389 %
TComRdCost::xGetSAD8	2047965638	590595737	73115155	176094	2510321	266375	12	3609	0	2047789532	588081807	72848780	0.108891675218 %	0.00859848411187 %	0.418359263569 %	0.000133533626151 %	5.85947331212e-07 %	0.000543760851826 %
TComInterpolationFilter::filterCopy	2044237300	521537016	211772192	449051	8310770	17381504	11	35047	2730	2043788238	513191199	194387958	0.941166058775 %	0.021966676765 %	3.5036071714 %	0.00136048126975 %	5.38097998701e-07 %	0.00515157856848 %
__memcpy_ssse3	1659149666	555122113	448434194	3665410	53297699	43891725	389	155704	531997	1655483867	501668710	404010472	3.78768196799 %	0.220920997973 %	9.68450134009 %	0.0258417567308 %	2.34457450085e-05 %	0.0685263990872 %
TComRdCost::xGetSAD32	1514773744	393841034	11317578	20632	1545016	42427	26	4432	3	1514753086	392291586	11275148	0.0837568571088 %	0.00136205159891 %	0.391807789094 %	0.000232351936049 %	1.7164279552e-06 %	0.00109463303226 %
TComRdCost::xCalcHADs4x4	1479633360	549021852	319289304	501915	325009	267413	55	0	0	1479131390	548696843	319021891	0.0466082989842 %	0.0339215790593 %	0.0682269248652 %	2.3424744335e-06 %	3.71713706158e-06 %	0.0 %
__memset_sse2	1231598073	193841289	545543594	1053010	4288517	124228016	64	29	265090	1230544999	189552743	421050488	6.5738540562 %	0.0854994842136 %	17.3815472773 %	0.0134543527732 %	5.19650049826e-06 %	0.035856697384 %
TEncSearch::xEstimateResidualQT	812403009	318655416	270649702	8116687	8916776	1869605	140	43	84	804286182	309738597	268780013	1.34857376053 %	0.999096127178 %	1.83035590063 %	1.90481880541e-05 %	1.72328263742e-05 %	2.1550805537e-05 %
TComRdCost::xGetSAD64	724696200	184641924	2195004	5851	1237014	19253	44	3166	21	724690305	183401744	2175730	0.138461012686 %	0.000807372799802 %	0.672386884888 %	0.000354457770184 %	6.07150968916e-06 %	0.00170576557542 %
TComTrQuant::getSigCtxInc	677433927	210860939	56006000	170331	765671	16335	21	10	0	677263575	210095258	55989665	0.100851014151 %	0.0251435591297 %	0.293032176608 %	3.28285201424e-06 %	3.09993331645e-06 %	3.74718578385e-06 %
partialButterfly16	599088960	322721280	54120960	547625	627470	2918238	72	32	208	598541263	322093778	51202514	0.419428439218 %	0.0914096297151 %	0.940899831187 %	3.19694667001e-05 %	1.20182485085e-05 %	6.36871280672e-05 %
partialButterfly32	576977568	330608896	34681920	212403	224020	1671349	121	64	3279	576765044	330384812	33007292	0.223691257798 %	0.0368130429639 %	0.518865768583 %	0.000367623498657 %	2.09713525639e-05 %	0.000915161250591 %
TEncSbac::codeCoeffNxN	564410265	202165347	150129136	4759980	1037978	2301050	115	19	184	559650170	201127350	147827902	0.883491442329 %	0.843354611915 %	0.947794575597 %	3.46894679769e-05 %	2.03752495536e-05 %	5.76222478057e-05 %
TComPrediction::xPredIntraAng	536726934	166897621	73579657	1467753	559173	1637528	73	8	48	535259108	166338440	71942081	0.471491783423 %	0.273463638029 %	0.913475492683 %	1.65979543096e-05 %	1.3600957093e-05 %	2.32870234002e-05 %
TComInterpolationFilter::filterVer	517066369	276581300	51888786	772505	361668	1305620	44	1743	9	516293820	276217889	50583157	0.288549711319 %	0.149401517158 %	0.507592036859 %	0.000212409528812 %	8.50954589932e-06 %	0.000533381904372 %
partialButterfly8	480359844	243709248	63156360	2497830	653336	3608183	47	8	34	477861967	243055904	59548143	0.85862937775 %	0.519991425428 %	1.38872486486 %	1.1305528775e-05 %	9.78433159788e-06 %	1.36867732666e-05 %
TComRdCost::xGetHADs	447198269	171357470	143009531	392228	27146	49200	24	0	0	446806017	171330324	142960331	0.0615277532286 %	0.0877078529121 %	0.0242856278672 %	3.15140421254e-06 %	5.3667470703e-06 %	0.0 %
__memset_chk_sse2	443753972	94053228	128842544	62972	1405921	54789708	0	0	14074	443691000	92647307	74038762	8.43900436569 %	0.0141907462183 %	25.2116172935 %	0.00211115358952 %	0.0 %	0.00631416193933 %
partialButterflyInverse32	428672742	235805772	30897060	169551	119334	995473	129	64	0	428503062	235686374	29901587	0.184699901466 %	0.0395525498563 %	0.417995936391 %	2.77547856462e-05 %	3.00928861019e-05 %	2.39967455614e-05 %
TEncSearch::xIntraCodingTUBlock	392288735	146379085	80644000	5041150	3006016	2663665	203	134	27484	387247382	143372935	77952851	1.72947304639 %	1.28506111704 %	2.49740285223 %	0.00449224431079 %	5.17475986151e-05 %	0.0121652826628 %
TComRdCost::xGetComponentBits	378324612	41192192	0	42992	0	0	1	0	0	378281619	41192192	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	378194508	118824062	21662930	101153	1092890	150098	12	933	0	378093343	117730239	21512832	0.259145737799 %	0.0267462900334 %	0.884770883272 %	0.00018219273292 %	3.17297045466e-06 %	0.000664118425996 %
partialButterfly4	341392792	157469000	60468096	430831	63153	3485410	19	2	5	340961942	157405845	56982681	0.711457421707 %	0.126198036425 %	1.62825102524 %	4.64841957453e-06 %	5.565436777e-06 %	3.21193597991e-06 %
TEncSbac::estSignificantCoefficientsBit	335860400	130454608	67162492	789189	1571156	2843054	16	5	21	335071195	128883447	64319417	0.975373656808 %	0.234975305216 %	2.23371864075 %	7.87287186432e-06 %	4.7638840423e-06 %	1.31567561714e-05 %
TEncBinCABACCounter::encodeBin	334788417	161194423	99196568	251828	2693247	199936	5	40	18	334536584	158501136	98996614	0.528413946741 %	0.0752200456206 %	1.11109181961 %	1.05850436277e-05 %	1.49348058239e-06 %	2.22741961146e-05 %
TEncSbac::estLastSignificantPositionBit	330786102	132782772	54238500	2368331	1501963	2005387	24	14	23	328417747	131280795	52233090	1.13472331508 %	0.715970527686 %	1.87537490388 %	1.17804425087e-05 %	7.25544388198e-06 %	1.97838457649e-05 %
__x86.get_pc_thunk.bx	310602438	310602438	0	79	0	0	9	0	0	310602350	310602438	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xT	305537268	74198916	60445380	2167572	3476855	6529167	12	0	1725	303369684	70722061	53914488	2.76558470313 %	0.709429659494 %	7.43144885989 %	0.000394609893294 %	3.92750778933e-06 %	0.00128115341774 %
TComPrediction::xPredInterBlk	264550204	108712293	49550711	753240	3180058	416139	20	163	5	263796944	105532072	49134567	1.02868995521 %	0.284724785168 %	2.27229163425 %	4.44640792773e-05 %	7.56000173033e-06 %	0.000106152414496 %
TComTrQuant::xDeQuant	261544564	99048159	14680992	1003322	81645	750908	24	0	0	260541218	98966514	13930084	0.489209589326 %	0.3836141668 %	0.732048900989 %	6.39533200453e-06 %	9.17625647918e-06 %	0.0 %
TComRdCost::xGetSSE4	254443554	98206284	56543012	1362414	928506	1361528	14	0	0	253081126	97277778	55181484	0.892598196669 %	0.535448424054 %	1.47983484203 %	3.42136965492e-06 %	5.50220266142e-06 %	0.0 %
partialButterflyInverse16	238672692	139158132	19929954	452412	221905	892818	104	32	4	238220176	138936195	19037132	0.393989323905 %	0.189553315132 %	0.700695462513 %	3.51970349374e-05 %	4.35743189254e-05 %	2.26289729829e-05 %
TEncEntropy::countNonZeroCoeffs	229728677	26671581	644722	77476	1835040	0	5	222	0	229651196	24836319	644722	0.74403942843 %	0.0337250016027 %	6.71774654132 %	8.83113920373e-05 %	2.17648056189e-06 %	0.000812701484531 %
TEncSbac::estSignificantMapBit	225945828	83663734	39901140	2653838	1270885	3605199	16	9	32	223291974	82392840	36295909	2.15441814998 %	1.17454613944 %	3.94617324661 %	1.63085134944e-05 %	7.08134340945e-06 %	3.31809507611e-05 %
TEncSearch::xPatternRefinement	216040917	82879505	49600058	440772	1183389	73360	10	4	0	215600135	81696112	49526698	0.487064920833 %	0.204022463023 %	0.948636130389 %	4.01698058031e-06 %	4.62875280241e-06 %	3.01933363111e-06 %
TComTrQuant::transformNxN	203080098	98207268	77853880	4521337	2094304	237761	24	1	0	198558737	96112963	77616119	1.80761182602 %	2.22638113952 %	1.32457673172 %	6.59384866821e-06 %	1.18179970545e-05 %	5.679844823e-07 %
TEncSearch::xTZSearchHelp	200370439	84678402	62870264	522876	33696	9016	7	0	0	199847556	84644706	62861248	0.162563076265 %	0.260954661082 %	0.0289477371486 %	2.0119619473e-06 %	3.49352930249e-06 %	0.0 %
void	196375537	111434273	8393191	121038	700144	195219	8	2241	1	196254491	110731888	8197971	0.321439390767 %	0.0616359867675 %	0.747210172119 %	0.00071156819919 %	4.0738271794e-06 %	0.00187102349091 %
TComYuv::addClip	183549453	49332115	17168161	495541	1189830	822702	12	4	780	183053900	48142281	16344679	1.00302968135 %	0.269976832892 %	3.02635134928 %	0.000318336677741 %	6.53774762271e-06 %	0.00117894247537 %
TComYuv::addAvg	180680956	69036078	15380427	299768	869782	747210	28	8	0	180381160	68166288	14633217	0.723039742731 %	0.165910125027 %	1.91549271082 %	1.35799112765e-05 %	1.54969292945e-05 %	9.47681972856e-06 %
getTUEntropyCodingParameters	178904471	76772787	43997021	2211368	2111847	1674423	17	32	226	176693086	74660908	42322372	2.00138564444 %	1.23606078017 %	3.13511304084 %	9.17663007041e-05 %	9.50227789444e-06 %	0.000213629552181 %
TComRdCost::xGetSAD24	176736516	46449282	1582878	2679	109189	2958	20	343	1	176733817	46339750	1579919	0.0510862999433 %	0.00151581578082 %	0.233483149623 %	0.000161944273765 %	1.13162805586e-05 %	0.000716186821496 %
0x001366a7	175929420	175929420	0	107823	0	0	6	0	0	175821591	175929420	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172789120	80223520	40728864	2723926	3426739	2871864	18	25	18	170065176	76796756	37856982	3.07158807221 %	1.57644532248 %	5.20750628611 %	2.07665580687e-05 %	1.04173225722e-05 %	3.55511802066e-05 %
TComRdCost::xGetSSE8	172535681	72918574	62296577	1169427	1036101	339991	20	0	0	171366234	71882473	61956586	0.827136350358 %	0.677788497557 %	1.01770547888 %	6.49876390911e-06 %	1.15918051756e-05 %	0.0 %
TEncSearch::xPatternSearch	171488867	67633990	59774563	168752	33070	15479	22	0	0	171320093	67600920	59759084	0.0727008617204 %	0.0984040555822 %	0.0381049771439 %	7.36038470991e-06 %	1.28288211269e-05 %	0.0 %
TComRdCost::xGetSSE16	170052892	73716428	68592148	518949	1620026	134976	30	0	0	169533913	72096402	68457172	0.727987038401 %	0.305169170543 %	1.23323699058 %	9.60425759044e-06 %	1.76415700122e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161656610	57680984	32743432	895279	547386	20641	82	13	0	160761249	57133585	32722791	0.580490338055 %	0.553815275478 %	0.628178787464 %	3.76862953581e-05 %	5.07248048812e-05 %	1.43766480062e-05 %
TComTU::TComTU	145792888	52635602	50428055	678074	1151392	1145884	31	5	219	145114783	51484205	49281952	1.19560849806 %	0.46509401748 %	2.22898746937 %	0.000102468673267 %	2.12630399365e-05 %	0.000217341404837 %
TComRdCost::calcRdCost	144136304	50092392	31187068	727569	2384176	27986	22	8	0	143408713	47708208	31159082	1.39286221349 %	0.504778449155 %	2.96773871283 %	1.33087409095e-05 %	1.52633301878e-05 %	9.84258507623e-06 %
TEncSearch::xEstimateResidualQT	143905733	54402037	48154825	4641100	2973653	1129323	42	38	135	139264591	51428346	47025367	3.54783085847 %	3.22509736287 %	4.00068403029 %	8.72343326581e-05 %	2.91857726057e-05 %	0.000168686908537 %
TComTrQuant::xTransformSkip	140930680	39076234	28186136	2187808	278009	477911	14	0	0	138742858	38798225	27708225	1.41394153167 %	1.55240008776 %	1.12383789034 %	6.72452802819e-06 %	9.93396185983e-06 %	0.0 %
TComYuv::removeHighFreq	135758702	39308766	16806702	232664	1177070	360	13	0	0	135526025	38131696	16806342	0.734905589429 %	0.171380542516 %	2.09822717686 %	6.7752736077e-06 %	9.57581341637e-06 %	0.0 %
TComRdCost::getDistPart	133338575	43258083	76737749	2410715	155228	251489	18	0	0	130927842	43102855	76486260	1.1121394971 %	1.80796517437 %	0.33894260594 %	7.1052330448e-06 %	1.34994693021e-05 %	0.0 %
TComTURecurse::nextSection	132220130	58450408	30643440	1489552	340762	149048	30	0	22	130730548	58109646	30494370	0.894368271669 %	1.12656975908 %	0.549768599062 %	2.34960306032e-05 %	2.26894346572e-05 %	2.46930629823e-05 %
TComRdCost::xGetSSE32	128434600	56374710	54508090	174539	1428458	52964	62	0	0	128259999	54946252	54455126	0.691951776177 %	0.135897180355 %	1.3360250643 %	2.59070172081e-05 %	4.82735960559e-05 %	0.0 %
partialButterflyInverse8	127387832	67378688	15629912	640825	117571	747904	58	8	3	126746949	67261109	14882005	0.715934194169 %	0.503050401235 %	1.04263293201 %	3.27952329534e-05 %	4.55302512724e-05 %	1.32516389868e-05 %
TComDataCU::initEstData	123680628	57542949	52994703	475136	329743	1394524	22	0	0	123205470	57213206	51600179	0.939039856325 %	0.384163637979 %	1.55989110389 %	9.39294746764e-06 %	1.77877492666e-05 %	0.0 %
TEncSbac::codeQtCbf	119998168	49548106	30368194	2630285	194204	278303	13	0	47	117367870	49353902	30089844	1.55205975387 %	2.19193763025 %	0.591252347769 %	3.00128352891e-05 %	1.08334987247e-05 %	5.88115315649e-05 %
fillReferenceSamples	110794782	31150259	14822937	2181382	857851	2030292	102	0	1020	108613298	30292408	12791625	3.23377584165 %	1.9688490384 %	6.28223236862 %	0.00071570738764 %	9.20620972926e-05 %	0.00221868412194 %
TEncSearch::predInterSearch	110755850	26068494	47156161	3484702	2866807	3575244	131	21	235	107271017	23201666	43580682	5.3955461205 %	3.14629159543 %	8.79765292168 %	0.000210348373595 %	0.000118278176728 %	0.000349609021715 %
TComYuv::subtract	103739773	35304047	15029838	407281	936180	896698	11	7	502	103332481	34367860	14132638	1.45395327733 %	0.392598699826 %	3.64143955906 %	0.000337500911415 %	1.06034548581e-05 %	0.00101124719461 %
TComDataCU::clipMv	98091840	33886272	16051392	359506	941471	25141	4	0	0	97732330	32944801	16026251	0.895847087348 %	0.366499394853 %	1.93563719761 %	2.70216402265e-06 %	4.07781116146e-06 %	0.0 %
TComRdCost::setDistParam	97919738	41626260	32717898	57817	209408	59888	6	4	0	97861915	41416848	32658010	0.189890631523 %	0.0590452968736 %	0.36222886538 %	5.80504692637e-06 %	6.12746737537e-06 %	5.38038241014e-06 %
TEncSearch::xTZSearch	97091882	35162883	40878070	3256774	274352	241207	358	2	0	93834750	34888529	40636863	2.17886630228 %	3.35432163113 %	0.678001760446 %	0.000207932827993 %	0.000368722896936 %	2.63016167091e-06 %
TComRdCost::xGetSAD12	96897836	26817966	2317602	5057	90659	3033	14	132	0	96892765	26727175	2314569	0.0783514503822 %	0.00521889879976 %	0.321572587842 %	0.000115842304791 %	1.44482070786e-05 %	0.000453054493394 %
TEncSbac::xCopyContextsFrom	96536700	38614680	38614680	90102	2760714	786939	9	41	38	96446589	35853925	37827703	2.09347843877 %	0.0933344520788 %	4.59365842213 %	5.06428010165e-05 %	9.32287927804e-06 %	0.00010229270319 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	186838	36025	173	3982	20070	92374721	30055399	17505910	0.159194291017 %	0.000325845049637 %	0.466160382783 %	0.0172809310636 %	0.000187279712914 %	0.0503093359 %
TComTrQuant::xQuant	87414250	39733750	28608300	479274	452760	1395308	8	0	21	86934968	39280990	27212971	1.49422013748 %	0.548279027733 %	2.70414481275 %	1.86188295433e-05 %	9.15182593227e-06 %	3.07277876505e-05 %
TEncBinCABAC::copyState	85647000	46392125	35686250	132511	4004897	928247	5	4	92	85514484	42387224	34757911	3.02020788447 %	0.154717619998 %	6.01028468217 %	6.02174834905e-05 %	5.83791609747e-06 %	0.000116961379901 %
