BQMall__QP_32_nF_5_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13190215014	4972355892	3147525774	407415	32732758	3735440	47	0	38	13189807552	4939623134	3143790296	0.17304291742 %	0.00308876693494 %	0.449122284044 %	3.98871958567e-07 %	3.56324744897e-07 %	4.67987115614e-07 %
void	9169251689	5380229070	361620258	440035	10282571	23491627	9	0	5827	9168811645	5369946499	338122804	0.229454773065 %	0.00479902848046 %	0.588211150636 %	3.91386256008e-05 %	9.81541384756e-08 %	0.000101482983393 %
TComTrQuant::xRateDistOptQuant	6753136373	2543002452	1495555071	18629456	46254250	84023068	356	429	12042	6734506561	2496747773	1411519961	1.37982762887 %	0.275863761237 %	3.22583787053 %	0.000118859931755 %	5.27162462502e-06 %	0.000308798374889 %
TComInterpolationFilter::filterHor	4997704244	2711950386	257933583	713037	12182268	18529591	36	11534	1561	4996991171	2699756584	239402431	0.394409138122 %	0.0142672908437 %	1.03410972686 %	0.000164805203896 %	7.20330740724e-07 %	0.000440926316876 %
TComRdCost::xGetSAD16	2139715116	578504901	37527777	50967	2376173	83495	18	3656	0	2139664131	576125072	37444282	0.0911053981597 %	0.00238195260756 %	0.399275572196 %	0.000133321344137 %	8.41233483159e-07 %	0.000593475010428 %
TComRdCost::xGetSAD8	2047965638	590595737	73115155	176094	3233677	289373	12	3333	0	2047789532	587358727	72825782	0.136415385798 %	0.00859848411187 %	0.530810936277 %	0.00012335542101 %	5.85947331212e-07 %	0.00050217648078 %
TComInterpolationFilter::filterCopy	2044237300	521537016	211772192	449051	12428790	22672245	11	32608	2721	2043788238	509075618	189097226	1.27990965759 %	0.021966676765 %	4.78666224521 %	0.00127234593186 %	5.38097998701e-07 %	0.00481774940429 %
__memcpy_ssse3	1658493238	555122113	448434194	3659349	107832500	102008207	388	156195	539098	1654833501	447133418	345886889	8.02013833292 %	0.220642985823 %	20.9097093543 %	0.026133285209 %	2.33947290896e-05 %	0.0692829087068 %
TComRdCost::xGetSAD32	1514773744	393841034	11317578	20632	5765745	43870	26	4324	0	1514753086	388070965	11273708	0.303669396569 %	0.00136205159891 %	1.43391127029 %	0.000226570482361 %	1.7164279552e-06 %	0.00106723635434 %
TComRdCost::xCalcHADs4x4	1479633360	549021852	319289304	501915	1792213	387085	55	0	0	1479131390	547229639	318902219	0.114194052787 %	0.0339215790593 %	0.250981227748 %	2.3424744335e-06 %	3.71713706158e-06 %	0.0 %
