BasketballPass__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComTrQuant::xRateDistOptQuant	963873099	365701539	204934099	7230414	19578703	21122969	183	8341	39874	3.12361114957 %	0.750141694742 %	7.13269015981 %	0.00315397357037 %	1.89859017945e-05 %	0.00844934960056 %
TComRdCost::xCalcHADs8x8	431833920	162789760	103046720	35003	1309011	1211894	17	7	79	0.366348923503 %	0.0081056624732 %	0.948291596398 %	1.47634183706e-05 %	3.9366986271e-06 %	3.23507142436e-05 %
TComPrediction::xPredIntraAng	366870838	113882567	51783842	1151593	1591508	2632440	37	4	6364	1.00942066124 %	0.313896031169 %	2.54967076639 %	0.00120273277336 %	1.00852932879e-05 %	0.00384386915757 %
TEncSearch::xIntraCodingTUBlock	287001264	107175408	59651154	4013854	8797095	4072294	72	61075	50021	3.72018682698 %	1.39854924123 %	7.71423258126 %	0.0244956332845 %	2.50869975263e-05 %	0.0665937118575 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	284052014	82554372	64071282	963104	16681252	15336831	2525	123886	266607	7.6579747339 %	0.339059028816 %	21.8366173494 %	0.0912557184182 %	0.00088892170291 %	0.266319698734 %
TEncSbac::codeCoeffNxN	138927479	49588791	37718928	1913999	1440614	865867	50	22651	13807	1.86552757365 %	1.37769648868 %	2.64178359762 %	0.0161371883433 %	3.59900002216e-05 %	0.0417580489075 %
TComTrQuant::getSigCtxInc	121272668	39168144	10496172	33057	2727873	402328	5	25	0	1.85054043074 %	0.0272584091248 %	6.30271642118 %	1.75503272013e-05 %	4.12294054585e-06 %	5.03379529077e-05 %
partialButterflyInverse32	97314642	53531172	7014060	38524	233881	278719	47	110	0	0.349122285502 %	0.0395870541249 %	0.84663974861 %	9.94552928631e-05 %	4.82969459005e-05 %	0.000181682349487 %
TComRdCost::xCalcHADs4x4	82992000	30794400	17908800	116827	22167	206770	20	27	0	0.262548672996 %	0.140768989782 %	0.470065621971 %	3.56884685243e-05 %	2.40987083092e-05 %	5.54378357069e-05 %
fillReferenceSamples	82141639	23149387	11001163	1613816	1087308	1607029	51	19384	6095	3.70459360774 %	1.96467470049 %	7.88958596567 %	0.0219533231075 %	6.2087877258e-05 %	0.0746078760079 %
TComTrQuant::xDeQuant	79624932	30086769	4720824	452710	365166	454952	12	2443	10	1.11229565196 %	0.568553075813 %	2.35614683268 %	0.00215410784652 %	1.50706565125e-05 %	0.00704731292394 %
partialButterfly32	76028058	43564176	4570020	28380	345560	398316	37	140	5257	0.621973244783 %	0.0373283242352 %	1.54542105575 %	0.00437653137321 %	4.86662437175e-05 %	0.0112124029245 %
TEncBinCABACCounter::encodeBin	72329247	34825193	21430888	126018	2713002	38100	2	699	524	2.23751810938 %	0.174228275873 %	4.89031932388 %	0.000952674787282 %	2.76513316944e-06 %	0.00217398719971 %
fastForwardDst	61802420	28296780	7461340	298322	194270	458964	9	1	1888	0.975349254934 %	0.482702780894 %	1.82681304274 %	0.00194545868647 %	1.45625365479e-05 %	0.00528271620544 %
partialButterfly8	58275510	29565920	7661900	372699	377682	672423	17	42	12218	1.48979517259 %	0.639546526491 %	2.82075340431 %	0.0128550491381 %	2.91717738721e-05 %	0.032932360799 %
TEncSbac::codeIntraDirLumaAng	57627031	19926088	20145527	1160383	1316632	74559	15	5162	2375	2.61167795509 %	2.01360885658 %	3.47176174457 %	0.00772989218295 %	2.60294513524e-05 %	0.0188088251497 %
TEncSbac::estSignificantCoefficientsBit	56761072	22107920	11251036	281002	850145	695980	8	585	21	2.02743723071 %	0.495061122172 %	4.63481231247 %	0.000681313592135 %	1.4094166509e-05 %	0.00181660361313 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	55094103	16113134	12258289	751247	567346	2646629	560	1281	193698	4.75073025958 %	1.36357061662 %	11.3282121944 %	0.234275166492 %	0.00101644272165 %	0.687237295077 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	54170268	11755728	15193680	423668	233187	6794586	41	107	348740	9.18573811858 %	0.782104308585 %	26.0776526149 %	0.430090475213 %	7.56872755365e-05 %	1.29445144027 %
partialButterflyInverse16	53132520	30978920	4436740	102546	1257773	326795	36	208	259	1.90530624119 %	0.193000444925 %	4.47420152554 %	0.000568052330381 %	6.77551149466e-05 %	0.00131862571529 %
TEncSbac::estLastSignificantPositionBit	52714150	21029748	8711428	891751	810707	391209	11	711	19	2.53915314094 %	1.69167291894 %	4.04125243736 %	0.000898668449871 %	2.08672623954e-05 %	0.00245450953251 %
partialButterflyInverse8	48813336	25818624	5989176	251857	289533	410204	20	40	3380	1.18032819582 %	0.515959409125 %	2.19989122165 %	0.00426687115895 %	4.0972409671e-05 %	0.0107520796786 %
partialButterfly16	47140956	25394208	4258656	57791	315388	314232	26	86	1711	0.895138436921 %	0.122591913494 %	2.12330249112 %	0.00237388894054 %	5.51537393514e-05 %	0.00606012289403 %
