BasketballPass__QP_32_nF_3_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComTrQuant::xRateDistOptQuant	23147263	8860650	4849673	149344	520728	524776	173	338	1820	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xCalcHADs8x8	14095776	5313728	3363616	850	24798	31970	17	143	8	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::xPredIntraAng	9744274	3017135	1344434	25036	65960	66795	37	4	196	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xIntraCodingTUBlock	7132866	2653660	1467972	88937	175085	99204	72	575	2242	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	6634996	2052427	1614183	20290	519551	485760	1714	38071	58019	0.0	0.0	0.0	0.0	0.0	0.0
partialButterflyInverse32	3371714	1854724	243020	1334	29498	9852	47	57	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::codeCoeffNxN	2893775	1058230	768129	38768	36620	15885	49	20	19	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::getSigCtxInc	2794851	870844	230632	776	20515	1240	5	7	0	0.0	0.0	0.0	0.0	0.0	0.0
partialButterfly32	2634186	1509392	158340	957	50935	14952	37	81	629	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xDeQuant	2243287	849894	124175	9100	5676	11579	12	0	0	0.0	0.0	0.0	0.0	0.0	0.0
partialButterflyInverse16	2188848	1276208	182776	3934	9458	9216	36	82	4	0.0	0.0	0.0	0.0	0.0	0.0
fillReferenceSamples	2136425	574325	285730	38221	19598	37265	51	306	334	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xCalcHADs4x4	1915200	710640	413280	2731	190	14844	20	24	0	0.0	0.0	0.0	0.0	0.0	0.0
partialButterfly16	1793250	966000	162000	1929	5754	11206	26	47	98	0.0	0.0	0.0	0.0	0.0	0.0
TEncBinCABACCounter::encodeBin	1497501	721019	443704	2631	44335	2417	2	13	1	0.0	0.0	0.0	0.0	0.0	0.0
partialButterfly8	1489536	755712	195840	9338	8593	16668	17	40	13	0.0	0.0	0.0	0.0	0.0	0.0
fastForwardDst	1427628	653652	172356	6456	3252	9167	9	1	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	1412721	380015	361362	15370	22523	103351	46	12	34296	0.0	0.0	0.0	0.0	0.0	0.0
TEncEntropy::countNonZeroCoeffs	1330918	153846	3356	1015	13246	0	1	189	0	0.0	0.0	0.0	0.0	0.0	0.0
partialButterflyInverse8	1324466	700544	162506	7052	7520	11031	20	9	5	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::codeIntraDirLumaAng	1317977	455906	457227	25951	36802	15384	15	5	4	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	1306892	268232	396752	10951	10340	180228	0	0	3782	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::estSignificantCoefficientsBit	1303076	507820	257828	6421	16743	19932	8	3	7	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::estLastSignificantPositionBit	1217238	486222	199776	20373	19321	11760	11	13	5	0.0	0.0	0.0	0.0	0.0	0.0
TVideoIOYuv::read	1071438	161928	152569	32	3865	10554	31	4	9840	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xT	1028244	249060	203652	12800	20965	26115	5	20	381	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::predIntraAng	1015983	411920	270568	9095	35424	2426	12	50	0	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::xPredIntraPlanar	993829	450590	171654	6549	1096	9397	10	0	606	0.0	0.0	0.0	0.0	0.0	0.0
__x86.get_pc_thunk.bx	978490	978490	0	3	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	970792	184499	189381	569	5625	9857	135	18	5116	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getIntraDirPredictor	934740	304505	247918	19637	32274	8093	13	67	3	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::initAdiPatternChType	933108	357191	263563	23383	33592	23531	28	1401	262	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::estSignificantMapBit	825218	305668	145760	17310	23723	16087	8	5	11	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::estIntraPredQT	806512	279652	387960	18600	53598	29797	82	38	36	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xRecurIntraCodingQT	759194	307333	241897	43502	85164	34345	56	25	31	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xGetHADs	728075	284518	219411	1114	7066	2536	9	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getPUAbove	676786	322255	154566	10896	11322	3250	6	2	4	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xGetSSE4	648774	250404	144172	12582	1601	2594	5	137	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xIT	648582	141622	130213	6790	8500	10370	5	0	11	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::estCBFBit	633360	294060	149292	26632	39278	18408	9	17	4	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getPULeft	616779	307876	125774	8509	20041	1803	6	24	4	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	583432	105441	42233	55	9202	659	9	2136	17	0.0	0.0	0.0	0.0	0.0	0.0
getTUEntropyCodingParameters	582207	249624	143062	20135	27860	18545	9	15	59	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::transformNxN	581700	280908	223884	30770	23455	2983	11	36	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	554582	554582	0	76	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xLoadIntraResultQT	519015	191364	102432	11015	14555	2119	24	0	74	0.0	0.0	0.0	0.0	0.0	0.0
TComYuv::copyPartToPartComponent	504916	188376	103656	7437	10360	662	12	32	4	0.0	0.0	0.0	0.0	0.0	0.0
TComTURecurse::nextSection	502074	224193	111842	5598	4088	3365	9	13	7	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::filteringIntraReferenceSamples	456274	112324	29814	9133	18594	2571	4	2	4	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::setErrScaleCoeff	452304	53568	50688	5	5501	12457	5	22	12293	0.0	0.0	0.0	0.0	0.0	0.0
fastInverseDst	447300	221662	57652	2923	698	3479	9	1	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getPUAboveRightAdi	444115	217035	93912	6593	19040	1021	10	52	2	0.0	0.0	0.0	0.0	0.0	0.0
partialButterfly4	433600	200000	76800	894	2740	4820	7	6	6	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	412220	159096	66928	139	14293	2148	28	1069	25	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xUpdateCandList	409990	108960	55425	668	5779	60	3	2	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getPUBelowLeftAdi	402505	202989	90366	4578	13580	597	8	17	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncBinCABAC::copyState	399888	216606	166620	1171	20174	11741	2	1	39	0.0	0.0	0.0	0.0	0.0	0.0
TComTU::TComTU	368942	127847	114418	3023	5808	4860	11	9	38	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xModeBitsIntra	366174	196649	142401	760	40884	35	4	108	0	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xGetSSE8	346176	146304	124992	3798	3123	776	7	104	0	0.0	0.0	0.0	0.0	0.0	0.0
initROM	329111	79859	35725	19	186	3004	19	0	32	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getCoefScanIdx	315545	115462	37212	14547	10029	3214	7	40	12	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313733	70847	46980	268	2195	435	50	15	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::codeQtCbf	307575	127131	77919	16019	7096	1743	6	16	1	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xTransformSkip	300960	83448	60192	9558	2093	5472	7	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::xCopyContextsFrom	296430	118572	118572	601	18061	5581	2	7	3	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	293176	83779	41892	8	4087	2210	8	3	7	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xGetSSE16	290375	125875	117125	1370	2790	272	11	8	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::calcPatternSigCtx	282510	114088	12639	196	708	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::xGetSSE32	267380	117363	113477	635	2708	293	22	28	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::initEstData	266760	124722	114582	946	2054	7012	11	14	213	0.0	0.0	0.0	0.0	0.0	0.0
isLeftAvailable	260305	97498	76153	7425	4197	854	3	25	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::codeLastSignificantXY	252749	98993	56362	8357	7293	175	15	12	0	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::getDistPart	250698	79594	146424	13362	1061	3225	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xsetFlatScalingList	249696	2016	98640	2	327	12367	2	38	12302	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xQuant	248820	113100	81432	4382	3864	13372	4	0	6	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::estBit	230724	72384	144768	2332	4524	7520	4	5	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xEncSubdivCbfQT	226563	92946	67203	14892	12371	205	15	0	0	0.0	0.0	0.0	0.0	0.0	0.0
isAboveAvailable	225596	75636	78468	10162	2785	1857	4	4	4	0.0	0.0	0.0	0.0	0.0	0.0
isBelowLeftAvailable	223820	85686	69198	8362	1269	741	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::loadIntraDirMode	223773	108496	74591	467	30822	210	3	105	0	0.0	0.0	0.0	0.0	0.0	0.0
QpParam::QpParam	218919	94196	68890	10097	17490	627	6	19	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::xCopyFrom	217382	98810	98810	1539	27699	2063	2	4	2	0.0	0.0	0.0	0.0	0.0	0.0
isAboveRightAvailable	212153	75636	70931	12114	1397	615	5	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getQuadtreeTULog2MinSizeInCU	208536	88752	30156	8217	10352	97	4	20	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xEncCoeffQT	208534	100242	62500	12072	8954	459	8	6	0	0.0	0.0	0.0	0.0	0.0	0.0
xTrMxN	196128	58506	50405	13762	7423	8469	15	3	20	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194730	42612	4954	150	860	0	30	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xGetIntraBitsQT	193664	87513	95284	7302	11148	275	6	20	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xRecurIntraChromaCodingQT	186674	67891	66306	6617	9546	2991	48	18	6	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185815	38900	5235	78	441	2	19	254	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::rdpcmNxN	185484	85956	54288	7432	7366	8142	4	2	14	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	3175	2921	24	1651	881	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	176996	42740	33564	0	5818	12332	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::estSignificantCoeffGroupMapBit	171912	85956	45240	6428	5798	4524	2	5	1	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xRecurIntraChromaCodingQT	170103	60825	63229	6556	7948	3754	10	0	7	0.0	0.0	0.0	0.0	0.0	0.0
