BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	27763341108	10466032024	6625049828	690085	70631441	7821017	64	0	30	27762650959	10395400583	6617228781	0.176443119267 %	0.00248559781517 %	0.459025699364 %	2.0956684714e-07 %	2.30519805779e-07 %	1.75530140571e-07 %
void	19757294456	11592822444	779155716	768314	23385088	54456927	18	0	8448	19756526124	11569437356	724690341	0.244668872338 %	0.00388876119507 %	0.629180022736 %	2.63498028766e-05 %	9.11055916086e-08 %	6.82833407136e-05 %
TComTrQuant::xRateDistOptQuant	10522510031	3955256291	2344436686	23836848	71454823	128546453	631	717	10640	10498672552	3883800751	2215879593	1.33061123976 %	0.226531957962 %	3.1747781476 %	7.12629611847e-05 %	5.99666807768e-06 %	0.000180278626934 %
TComInterpolationFilter::filterHor	10436748445	5667879641	534495194	1289521	24568331	43206818	73	24963	2494	10435458851	5643286347	491285882	0.415073972575 %	0.0123555818826 %	1.09272900789 %	0.000165453428866 %	6.99451561803e-07 %	0.000442685273471 %
TComRdCost::xGetSAD16	4664437380	1260940210	81363790	88014	5120413	179301	28	8129	0	4664349338	1255811668	81184489	0.0896946890029 %	0.00188691567342 %	0.39482218633 %	0.000135797422995 %	6.00286759558e-07 %	0.000605600519703 %
TComRdCost::xGetSAD8	4489374160	1294745092	160573652	324461	7054647	612858	19	6464	0	4489049680	1287683981	159960794	0.134438668726 %	0.00722731027614 %	0.526860870281 %	0.000109055254909 %	4.23221574385e-07 %	0.000444163866277 %
TComInterpolationFilter::filterCopy	4281301536	1101137362	437795044	797971	24853748	40074756	26	70049	4929	4280503539	1076213565	397715359	1.12927548368 %	0.018638514323 %	4.2190614576 %	0.0012886767224 %	6.07291959732e-07 %	0.00487207883255 %
__memcpy_ssse3	3404307451	885079216	712587263	5670950	166936233	158837388	459	238658	875456	3398636042	717904325	552874419	6.62627545922 %	0.166581605264 %	20.3905899812 %	0.0222826631166 %	1.34829185262e-05 %	0.0697338283455 %
TComRdCost::xGetSAD32	3371098110	876497285	25217735	35974	10008508	97426	40	10489	0	3371062096	866478288	25120309	0.237359034702 %	0.00106713002191 %	1.1207458871 %	0.00024641845266 %	1.18655698217e-06 %	0.00116322782335 %
TComRdCost::xCalcHADs4x4	2888209760	1071677832	623245264	810537	3037216	805014	75	0	0	2887399148	1068640616	622440250	0.101519356872 %	0.0280636472886 %	0.226690521185 %	1.63643521487e-06 %	2.5967643015e-06 %	0.0 %
__memset_sse2	2307305767	326529415	1085056605	1719354	13415441	469886502	74	42	433652	2305586339	313113932	614736451	13.0420922355 %	0.0745178218072 %	34.2382211323 %	0.0116639048632 %	3.20720387642e-06 %	0.0307238803626 %
TComRdCost::xGetSAD64	1609004826	409951917	4876323	10723	12836372	44976	77	7631	2	1608994026	397107914	4831345	0.637012568704 %	0.000666436782956 %	3.10522446591 %	0.000380960274319 %	4.78556675255e-06 %	0.00184003866275 %
TEncSearch::xEstimateResidualQT	1371686767	537847409	456708205	12036158	50884120	9783938	272	70	28	1359650337	486963219	446924239	3.0725599619 %	0.87747132141 %	6.10001664522 %	1.56366060794e-05 %	1.9829600062e-05 %	9.85364705809e-06 %
TComTrQuant::getSigCtxInc	991323875	306608975	81272464	258310	1579838	111549	31	13	0	991065534	305029124	81160915	0.141363796979 %	0.0260570744349 %	0.436057730517 %	3.19024292854e-06 %	3.12713138277e-06 %	3.35153959249e-06 %
partialButterfly16	972515340	523881120	87855840	871481	1084640	4809973	99	48	162	971643760	522796432	83045705	0.427084372862 %	0.0896110286548 %	0.963586211956 %	1.95044690798e-05 %	1.01797880124e-05 %	3.43284800055e-05 %
TComInterpolationFilter::filterVer	948999809	497416539	103178400	1383447	1189808	3412728	122	2996	5	947616240	496223735	99765667	0.386293449157 %	0.145779481395 %	0.766329467855 %	0.000201536563287 %	1.28556401006e-05 %	0.000499671210183 %
partialButterfly32	911246688	522145536	54774720	334325	1910704	2884515	190	96	3708	910912173	520234736	51886497	0.344688747501 %	0.0366887478882 %	0.831175357448 %	0.000268383867556 %	2.08505558925e-05 %	0.000659363224022 %
TComRdCost::xGetHADs	910025804	348413404	291337272	712469	225017	691405	33	0	0	909313302	348188387	290645867	0.10510489874 %	0.0782910766781 %	0.143246741954 %	2.12933932253e-06 %	3.62627079968e-06 %	0.0 %
