BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	13129924554	4949628012	3133138914	401137	16762529	2178033	49	0	295	13129523368	4932865483	3130960586	0.0911798440016 %	0.00305513560531 %	0.234332650853 %	1.62167068863e-06 %	3.73193309668e-07 %	3.64974027707e-06 %
void	9201303950	5399002020	362817864	435907	4109601	23548496	9	0	5442	9200868034	5394892419	339263926	0.187754938819 %	0.00473744810919 %	0.480023630673 %	3.64295588306e-05 %	9.78122236686e-08 %	9.44493252056e-05 %
TComTrQuant::xRateDistOptQuant	6780356521	2553486120	1501142490	18406803	32649587	55855642	356	395	9016	6761949362	2520836138	1445277832	0.986729845103 %	0.271472494743 %	2.18281962451 %	9.01431786192e-05 %	5.25046137172e-06 %	0.000232105105182 %
TComInterpolationFilter::filterHor	5052118778	2741706775	261039111	707497	8041426	17796892	36	17959	1650	5051411245	2733647390	243240569	0.329562520382 %	0.0140039660801 %	0.860489664492 %	0.00024388988294 %	7.12572320286e-07 %	0.000653035612884 %
__memcpy_ssse3	2139535125	560889967	451708819	4031572	52873807	43685593	436	155424	535675	2135503117	507860736	407487551	3.19120236767 %	0.188432148315 %	9.53580049028 %	0.021938630132 %	2.03782585715e-05 %	0.0682500324467 %
TComInterpolationFilter::filterCopy	2046334238	521091431	212418446	450274	9385751	15903233	11	39852	2730	2045883953	511665828	196512483	0.925924509979 %	0.0220039322823 %	3.44766782193 %	0.00153220821881 %	5.37546594087e-07 %	0.00580523880253 %
TComRdCost::xGetSAD16	1737682686	469812201	30484747	52480	1388649	42305	19	13	0	1737630187	468423539	30442442	0.0662845174041 %	0.00302011411075 %	0.286020933312 %	1.42986109051e-06 %	1.0934102154e-06 %	2.59845678691e-06 %
TComRdCost::xGetSAD8	1514732664	436251390	52237494	178414	1626314	140215	13	7	0	1514554237	434625069	52097279	0.0970907587302 %	0.0117785800914 %	0.361631361094 %	9.9839181642e-07 %	8.58237252617e-07 %	1.43299064304e-06 %
TComRdCost::xCalcHADs4x4	1486500720	551570004	320771208	491336	279297	319582	57	0	0	1486009327	551290707	320451626	0.0462182304465 %	0.0330531962339 %	0.0686519210329 %	2.41644000078e-06 %	3.83450873808e-06 %	0.0 %
__memset_sse2	1232275161	194573798	545610673	1183056	3365319	123412786	70	31	269183	1231092035	191208448	421928704	6.48739061241 %	0.0960058303082 %	17.1279066188 %	0.0136521932125 %	5.68054945968e-06 %	0.0363712034699 %
TComRdCost::xGetSAD32	1196749022	311142717	8911199	20701	1199881	19709	27	200	0	1196728294	309942636	8891490	0.0817700815925 %	0.00172976953559 %	0.381057671546 %	1.49656883115e-05 %	2.25611214245e-06 %	6.24894713052e-05 %
TEncSearch::xEstimateResidualQT	816255490	320182362	271959273	7675369	7927482	1821448	140	20	28	808579981	312254860	270137797	1.23717229258 %	0.940314533137 %	1.64638482143 %	1.33485077939e-05 %	1.71514926044e-05 %	8.10616872093e-06 %
TComTrQuant::getSigCtxInc	682275254	212430721	56426796	173555	690797	19725	21	10	0	682101678	211739914	56407071	0.0929499042568 %	0.0254376806109 %	0.264274552532 %	3.25927157019e-06 %	3.07793663582e-06 %	3.71944222039e-06 %
partialButterfly16	601040016	323772288	54297216	556942	621578	2924436	74	32	112	600483000	323150678	51372668	0.41904975043 %	0.0926630482454 %	0.937926482428 %	2.2265129237e-05 %	1.23119922185e-05 %	3.80882346967e-05 %
partialButterfly32	576250896	330192512	34638240	212589	228036	1673166	124	64	2729	576038183	329964412	32962345	0.224612923277 %	0.0368917430716 %	0.521118899538 %	0.00030996247841 %	2.15184047193e-05 %	0.000765560464596 %
TEncSbac::codeCoeffNxN	572790443	205068589	152636725	4806379	1060163	2396679	115	26	281	567983949	204008400	150239765	0.888044995137 %	0.839116479463 %	0.966393806495 %	4.53521681131e-05 %	2.00771506238e-05 %	8.58248362505e-05 %
TComRdCost::xGetSAD64	572244294	145801747	1738941	6333	866056	4795	46	85	20	572237915	144935606	1734126	0.121867505149 %	0.00110669517659 %	0.590244638143 %	2.0978487156e-05 %	8.03852488916e-06 %	7.11668092533e-05 %
TComPrediction::xPredIntraAng	533966033	166037730	73226874	1460516	580946	1586969	73	8	90	532505444	165456776	71639815	0.469255979571 %	0.273522267286 %	0.906074264123 %	2.21150057716e-05 %	1.36712815963e-05 %	4.09588373548e-05 %
TComInterpolationFilter::filterVer	493148680	261369394	50470956	715581	205214	1258883	44	619	12	492433055	261163561	49212061	0.270771143304 %	0.14510451493 %	0.469502102598 %	8.38520743568e-05 %	8.92225849616e-06 %	0.000202347130511 %
partialButterfly8	482330376	244708992	63415440	2510419	621996	3633784	48	8	27	479819909	244086988	59781629	0.855988088316 %	0.520477068191 %	1.38118875299 %	1.05002840339e-05 %	9.95168506659e-06 %	1.13590473085e-05 %
TComRdCost::xGetHADs	446591379	171116068	142845609	369800	31299	77666	26	0	0	446221553	171084769	142767943	0.0629495859918 %	0.08280500193 %	0.0347064651461 %	3.41856492389e-06 %	5.8218768258e-06 %	0.0 %
__memset_chk_sse2	445087032	94345360	129207840	173100	2196357	54760763	0	0	8585	444913932	92149003	74438492	8.54423907893 %	0.038891270146 %	25.4781054353 %	0.00128394906396 %	0.0 %	0.00384024921137 %
partialButterflyInverse32	434369776	238939616	31307680	171820	120446	1008702	131	64	0	434197825	238819106	30298978	0.184634754351 %	0.0395561591744 %	0.417820276729 %	2.7674606215e-05 %	3.01586360834e-05 %	2.36820130848e-05 %
TEncSearch::xIntraCodingTUBlock	390410809	145689057	80273124	5004074	2944347	2721571	202	113	26796	385406533	142744597	77524757	1.73109337578 %	1.28174576232 %	2.50746296346 %	0.00439847307391 %	5.17403707437e-05 %	0.0119086299667 %
partialButterfly4	342498472	157979000	60663936	434613	62039	3410405	19	2	4	342063840	157916959	57253527	0.696269593421 %	0.126894872687 %	1.58818028313 %	4.45520498819e-06 %	5.54747000448e-06 %	2.74420025168e-06 %
TEncBinCABACCounter::encodeBin	338327928	162898632	100245312	248994	3101790	194822	4	41	37	338078930	159796801	100050453	0.589488247923 %	0.0735954615015 %	1.25277897332 %	1.36332227353e-05 %	1.18228489846e-06 %	2.96415713827e-05 %
TEncSbac::estSignificantCoefficientsBit	336702951	130781205	67332068	792922	1972035	2932609	16	7	21	335910013	128809163	64399438	1.06533155584 %	0.235496005498 %	2.4756766297 %	8.22712513673e-06 %	4.75196310353e-06 %	1.4133328664e-05 %
