BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	645852337938	243468940764	154117038858	10912324	2569960328	814324145	18693	316967	310334
void	472409086205	277379333658	18299616450	11653653	2508935082	1416796401	17312	700246	7387605
TComInterpolationFilter::filterHor	251200188221	136492853473	12570832966	31031998	1330222500	1093429156	47140	15926276	3803443
TComTrQuant::xRateDistOptQuant	221167144098	83566199753	48608178298	485069895	5666550989	4800084165	194837	442205	2652469
TComRdCost::xGetSAD16	117127448172	31664929097	2048019589	1728375	486077387	15747702	5766	4998686	38929
TComRdCost::xGetSAD8	109139626936	31478013562	3909827858	6008581	497713592	30358326	7805	6218928	31879
TComRdCost::xGetSAD32	96822658600	25170592350	715051750	807640	580513507	16676806	5449	3930036	45118
TComInterpolationFilter::filterCopy	90480153878	23165132527	9227179934	16168991	716900398	944195034	43807	12344102	3558193
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	69284398728	17684342891	14353153635	59069931	4268846937	4090460779	117207	10321604	20987595
TComRdCost::xCalcHADs4x4	61953718000	22988090100	13368960200	17859443	207615229	66990021	32238	27893	12286
TComRdCost::xGetSAD64	55337505600	14099049824	167286304	309833	530758532	7174628	4904	2273704	24014
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	47197600830	6419858258	22655585967	59766866	397479122	8828521401	48223	214098	13242629
TEncSearch::xEstimateResidualQT	28676439953	11255237037	9572921988	309481606	1711332497	408380295	74659	30349	43699
TComInterpolationFilter::filterVer	28091622725	15287034706	2681015948	34115228	213182002	136721057	59267	864849	371645
TComRdCost::xGetComponentBits	23033266436	2148004128	0	1336309	0	0	1149	0	0
partialButterfly16	22956698736	12366469248	2073879936	19989897	229455087	160313339	24365	24558	205949
partialButterfly32	22187203674	12713296528	1333665060	8278361	284945132	130209371	17126	24801	771053
TComRdCost::xGetSAD4	20598138798	6471801843	1180443221	5663316	149436147	15545178	4675	2047034	9553
partialButterflyInverse32	20382011130	11211806580	1469055900	8038701	136232380	59721054	59592	20306	0
