BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	6332760	2387280	1511160	51	22113	6031	17	0	0
TComTrQuant::xRateDistOptQuant	5719656	2324887	1018461	10548	119771	116371	162	202	1848
TVideoIOYuv::read	4238958	623208	604489	32	9694	40781	32	3950	38401
TComPrediction::xPredIntraAng	2385438	741128	283060	758	11522	19683	33	4	35
partialButterflyInverse32	2325320	1279120	167600	918	20408	6774	47	32	12
partialButterfly32	1816680	1040960	109200	654	44550	10146	37	32	470
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	1479903	478718	441063	1167	198327	188174	230	107840	166301
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	1462904	276140	286909	586	7891	14895	155	70	8806
partialButterflyInverse16	1217988	710148	101706	1972	5750	4983	36	16	4
partialButterfly16	1061604	571872	95904	805	3412	6684	26	16	76
TEncSearch::xIntraCodingTUBlock	1032106	378160	190784	3803	15123	14258	61	104	1939
TComTrQuant::getSigCtxInc	897000	266994	68152	63	5555	518	5	3	0
TComTrQuant::xDeQuant	843490	320880	41762	769	3627	4423	12	0	0
TEncEntropy::countNonZeroCoeffs	629799	70671	390	81	8411	0	1	160	0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	583432	105441	42233	55	9202	658	16	2181	35
TEncSbac::codeCoeffNxN	524763	190079	131868	2906	6268	2220	49	1	22
TComTrQuant::setErrScaleCoeff	452304	53568	50688	5	5501	12457	5	22	12305
TComCUMvField::create	450848	2912	112608	9	331	13581	5	0	13320
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	449504	128467	64236	8	5493	2643	8	16	5
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	412220	159096	66928	142	14293	2148	39	1378	37
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	359823	16369	223095	688	2250	107677	37	21	93235
initROM	329111	79859	35725	19	189	3005	19	0	32
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313750	70833	46985	266	2178	436	52	19	2
TComPrediction::xPredIntraPlanar	252021	119638	42998	514	301	1808	10	0	550
TComTrQuant::xsetFlatScalingList	249696	2016	98640	2	327	12367	2	38	12321
TComTrQuant::xT	231804	49788	43860	596	3523	6270	6	0	304
TComTrQuant::xIT	225744	47218	43936	674	1690	3585	5	0	7
TEncBinCABACCounter::encodeBin	219699	105781	65096	58	4890	143	2	9	1
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194769	42625	4955	151	856	0	30	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185688	38867	5230	79	442	2	19	254	0
TComRdCost::xGetSSE32	184400	80940	78260	437	2420	244	22	12	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	3175	2921	24	1669	886
TComRdCost::xGetSSE16	171902	74518	69338	793	2155	241	11	4	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	169865	54573	0	33	1288	0	3	208	0
fillReferenceSamples	168862	37233	23114	2020	1098	5004	50	2	342
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	158878	52581	39255	23	10252	378	16	28	1
df::program_options_lite::Options::addOption	146684	45001	44151	161	5215	270	29	2	0
operator	144424	43328	43328	6	1038	618	3	3	2
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	143080	8584	85216	100	443	41568	0	0	2912
TEncSbac::TEncSbac	112788	1404	48750	58	34	5100	29	0	5017
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	111242	111242	0	25	0	0	2	0	0
TComDataCU::initEstData	96264	47762	42614	33	330	3757	11	0	0
TComTrQuant::calcPatternSigCtx	93339	37150	2965	7	433	0	3	0	0
__x86.get_pc_thunk.bx	92232	92232	0	3	0	0	1	0	0
