BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TVideoIOYuv::read	4238958	623208	604489	32	6219	40781	31	12	38401
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	1462614	276088	286855	585	6505	21235	172	68	8798
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	1187252	396789	376945	549	179398	160978	179	107197	157836
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	583038	105347	42175	48	6087	548	16	2137	13
TComCUMvField::create	450848	2912	112608	9	940	13597	5	0	13320
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	449420	128443	64224	8	4151	2782	8	14	5
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	411308	158750	66792	130	12267	695	35	1071	23
TComTrQuant::setErrScaleCoeff	402351	47895	45124	5	4656	11073	5	22	10931
initROM	329111	79859	35725	19	372	2983	19	0	32
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313750	70833	46985	266	2165	1339	52	19	2
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	257898	6090	172020	35	935	84315	24	10	83978
TComTrQuant::xsetFlatScalingList	223926	1946	88375	2	288	11082	2	38	11038
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194769	42625	4955	151	842	0	30	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185688	38867	5230	79	599	1	19	254	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	2687	2994	24	1651	881
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	169193	54325	0	31	1283	0	3	184	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	158878	52581	39255	23	10176	337	16	28	1
df::program_options_lite::Options::addOption	146684	45001	44151	161	9075	195	29	2	0
operator	144384	43316	43316	6	680	2600	3	3	2
TEncSbac::TEncSbac	112788	1404	48750	58	65	5162	29	0	5006
/build/buildd/eglibc-2.19/malloc/malloc.c:free	88330	20075	12045	6	1245	11	5	7	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	86274	86274	0	1	0	0	1	0	0
0x00046e90	83262	83262	0	3	0	0	1	0	0
