BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	835896	159425	162614	561	4770	8180	131	35	4061
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	581877	105090	42030	36	9172	626	9	2131	7
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	409845	158192	66556	113	14112	2120	28	1037	16
initROM	329111	79859	35725	19	189	3005	19	0	32
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313386	70728	46933	251	2165	429	42	16	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	250210	71503	35754	7	3519	1976	7	3	3
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194769	42625	4955	151	856	0	30	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185688	38867	5230	79	442	2	19	254	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	3175	2921	24	1651	881
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	168319	54010	0	27	1195	0	1	173	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	158878	52581	39255	23	10252	378	16	28	1
df::program_options_lite::Options::addOption	146684	45001	44151	161	5215	270	29	2	0
TEncSbac::TEncSbac	112788	1404	48750	58	34	5100	29	0	5006
