BasketballDrill__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComTrQuant::xRateDistOptQuant	56,887,531	21,566,133	12,029,255	392,302	1,163,008	1,150,906	175	240	1,947
TComRdCost::xCalcHADs8x8	31,211,460	11,765,880	7,447,860	2,142	71,719	80,848	17	3	0
TComPrediction::xPredIntraAng	23,735,806	7,342,162	3,318,106	61,552	91,185	188,045	37	4	125
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	17,988,876	5,271,807	4,169,778	53,419	1,176,506	1,098,224	286	108,771	163,175
TEncSearch::xIntraCodingTUBlock	17,831,596	6,647,634	3,686,834	230,135	505,189	232,409	72	520	3,827
partialButterflyInverse32	7,673,556	4,221,096	553,080	3,041	67,566	21,973	47	32	0
TEncSbac::codeCoeffNxN	6,859,526	2,409,264	1,855,400	98,340	102,800	40,233	49	33	33
TComTrQuant::getSigCtxInc	6,300,637	1,986,052	523,804	2,035	48,319	2,144	5	3	0
partialButterfly32	5,995,044	3,435,168	360,360	2,211	82,931	35,981	37	32	467
fillReferenceSamples	5,357,184	1,464,166	711,278	98,820	60,766	100,331	51	950	730
TComTrQuant::xDeQuant	5,308,084	2,009,217	299,784	23,971	22,064	26,563	12	0	0
TComRdCost::xCalcHADs4x4	5,000,800	1,855,560	1,079,120	7,080	426	12,631	20	0	0
TVideoIOYuv::read	4,238,958	623,208	604,489	33	8,791	40,795	31	1	38,400
partialButterflyInverse16	4,130,568	2,408,328	344,916	7,721	16,965	17,712	36	16	4
partialButterfly8	3,827,280	1,941,760	503,200	24,399	23,826	42,206	17	4	0
fastForwardDst	3,704,282	1,696,038	447,214	16,652	8,438	27,746	9	1	0
TEncBinCABACCounter::encodeBin	3,652,371	1,758,549	1,082,184	6,850	119,435	7,288	2	11	1
partialButterflyInverse8	3,624,192	1,916,928	444,672	18,106	20,139	29,664	20	4	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	3,621,738	979,555	934,629	44,862	41,417	280,224	62	22	95,069
partialButterfly16	3,500,424	1,885,632	316,224	4,101	11,433	21,518	26	16	76
TEncSbac::codeIntraDirLumaAng	3,387,628	1,171,396	1,168,830	65,275	57,871	19,592	15	7	4
TEncSbac::estSignificantCoefficientsBit	3,377,742	1,316,010	668,856	15,597	45,886	52,041	8	4	7
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	3,314,236	697,444	971,920	23,801	8,661	438,540	3	0	2,226
TEncSbac::estLastSignificantPositionBit	3,148,416	1,256,994	518,202	52,803	46,621	29,404	11	3	5
TEncEntropy::countNonZeroCoeffs	3,101,113	360,657	9,050	2,622	34,478	0	1	23	0
TComPrediction::predIntraAng	2,650,141	1,074,670	705,585	23,410	46,462	2,463	12	42	0
TComTrQuant::xT	2,532,729	619,209	503,931	34,587	58,339	64,848	6	0	292
__x86.get_pc_thunk.bx	2,491,730	2,491,730	0	7	0	0	1	0	0
TComDataCU::getIntraDirPredictor	2,432,336	799,856	638,593	49,544	74,797	9,702	30	0	3
TComPrediction::initAdiPatternChType	2,389,052	921,280	685,651	59,697	69,298	42,328	28	11	237
TEncSbac::estSignificantMapBit	2,149,788	796,206	379,696	45,102	67,505	45,843	8	5	11
TEncSearch::estIntraPredQT	2,085,025	723,282	1,004,370	47,971	82,574	34,395	82	63	21
TEncSearch::xRecurIntraCodingQT	1,941,395	788,827	620,164	111,065	149,669	28,444	56	78	32
TComRdCost::xGetHADs	1,844,850	722,960	550,830	2,886	17,240	258	9	0	0
TComPrediction::xPredIntraPlanar	1,817,842	807,040	315,412	15,569	1,023	18,812	10	0	767
TComDataCU::getPUAbove	1,747,865	833,681	398,701	28,418	43,599	17,603	11	2	2
TComRdCost::xGetSSE4	1,707,948	659,208	379,544	33,420	20,759	8,497	5	5	0
TEncSbac::estCBFBit	1,648,920	765,570	388,674	70,072	121,948	46,994	9	8	4
TComDataCU::getPULeft	1,605,798	806,907	328,805	22,861	62,792	17,788	19	24	4
TComTrQuant::xIT	1,582,418	348,558	320,295	18,892	25,815	28,440	5	0	3
getTUEntropyCodingParameters	1,530,656	656,134	376,021	52,377	70,645	54,786	8	15	40
TComTrQuant::transformNxN	1,515,246	731,637	583,383	80,729	49,985	2,371	12	41	0
TComTURecurse::nextSection	1,472,717	658,045	327,564	15,494	11,500	3,978	11	0	0
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	1,462,907	276,176	286,983	588	6,543	14,675	133	77	8,829
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	1,356,856	1,356,856	0	175	0	0	2	0	0
