BasketballPass__QP_32_nF_3_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	4403456664	1659984592	1050778424	177868	18359700	6340168	656	416	206
TComTrQuant::xRateDistOptQuant	3581710233	1347150834	793939302	11178444	77365255	79425818	2001	1782994	561379
void	2735044852	1604926382	107685122	185813	17770569	8976064	55	4	21370
TComInterpolationFilter::filterHor	1591004054	860560963	84258851	336722	8167103	7154436	187	44356	11080
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	1145972445	304560144	244523289	1542282	72778157	65622677	8091	240996	838528
TComInterpolationFilter::filterCopy	682040918	170960895	72609702	196351	6417853	7175634	53	65438	17225
TComRdCost::xGetSAD16	616341258	166618164	10757282	24932	3820625	163003	249	9115	11
TComRdCost::xGetSAD8	595995816	171877484	21288260	80643	3368428	168864	199	20209	17
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	529354337	98890562	208349082	1167896	5911512	74119497	3049	4129	209175
TComRdCost::xCalcHADs4x4	506384960	187895472	109272544	289484	1870615	1007646	625	306	0
TComRdCost::xGetSAD32	440861338	114627743	3303621	10407	2389941	119469	166	4770	4
TComPrediction::xPredIntraAng	423302445	131506962	58776537	1212943	2897330	2946675	464	12	2482
TEncSearch::xEstimateResidualQT	387599139	151900437	128971134	3210390	20723083	5188882	2744	70297	114
TComTrQuant::getSigCtxInc	336249412	104515198	27773952	82610	2986961	144928	54	5018	0
TEncSearch::xIntraCodingTUBlock	318220231	118750491	65746146	4271559	8069128	4267406	573	9729	29747
partialButterfly32	311469786	178472592	18722340	113210	4091040	1831706	362	4205	30681
partialButterfly16	309414528	166677504	27952128	275590	2724537	2135525	233	7937	161622
partialButterfly8	256660500	130216000	33745000	1301403	1629610	2933099	258	172	19651
TEncSbac::codeCoeffNxN	253594911	90462068	67654998	2727822	3005224	1278103	680	685	630
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	236870974	50298442	68591176	727192	1950388	29708344	72	651	1684885
partialButterflyInverse32	228230158	125545628	16449940	90326	1743445	667107	319	191	0
TComRdCost::xGetSAD64	207115020	52771070	630290	3021	1785338	17441	119	1875	11
TEncSbac::estSignificantCoefficientsBit	186416003	72438025	37227994	487496	1793238	2925051	953	8	39650
TEncSbac::estLastSignificantPositionBit	182077983	73027785	29883219	1464085	3190745	2067459	1109	6257	33046
partialButterfly4	173270896	79922000	30690048	214630	854538	1864028	64	38	2668
TComTrQuant::xT	164247262	39957158	32530414	1001504	5173170	4315235	17	443	46682
TComInterpolationFilter::filterVer	162271429	85492027	16129794	325575	1118243	847086	218	2253	244
TEncBinCABACCounter::encodeBin	159698277	76891763	47318008	171304	6851338	620932	10	68667	44
TComRdCost::xGetHADs	158826437	61071608	50266481	188207	1043094	528359	142	0	0
__x86.get_pc_thunk.bx	148829372	148829372	0	4	0	0	2	0	0
TComTrQuant::xDeQuant	140486293	53183010	7950845	567628	511300	814264	51	1827	61742
TComRdCost::xGetSSE4	134116839	51764394	29803742	1032994	1342288	615291	155	288	9
TEncSbac::estSignificantMapBit	124560910	46120365	21996664	1484409	3543606	2634049	294	12	74070
partialButterflyInverse16	117615276	68575596	9821262	225286	889922	508427	307	7903	12483
TComPrediction::xPredInterBlk	113815058	46652574	20884710	334506	3386496	782675	1102	16710	11
TComTrQuant::transformNxN	108696479	52555998	41689172	2194406	5291534	568091	80	59	0
TEncEntropy::countNonZeroCoeffs	107721522	12508002	303156	55489	1146795	0	13	3397	0
TComRdCost::xGetComponentBits	106605292	11947572	0	21437	0	0	8	0	0
TComRdCost::xGetSAD4	105474870	33139271	6043361	50862	938969	83476	243	8620	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	96202354	96202354	0	22010	0	0	260	0	0
TEncSbac::estCBFBit	95233180	44215405	22447821	1910585	6436143	2830692	1001	35	24421
getTUEntropyCodingParameters	93754253	40230962	23061415	1277768	4631288	2685231	611	49850	4420
fillReferenceSamples	90125334	25348259	12065612	1737532	1227071	1677787	896	9410	2209
TComYuv::addClip	88168422	23694746	8245694	239176	845229	434634	832	177	6682
TComRdCost::xGetSSE8	87215918	36859972	31490606	663376	956245	260079	439	194	25
TComYuv::copyPartToPartComponent	85077211	30482990	17061274	568654	838235	55118	690	367	0
TComRdCost::xGetSSE16	82610526	35810934	33321594	255176	1106195	187459	368	0	12
TComTU::TComTU	76166740	27427148	26167977	418915	1649094	1523123	134	444	360
TComTrQuant::xTransformSkip	73249220	20310011	14649844	1083821	1095117	1194736	81	0	0
partialButterflyInverse8	72269912	38225408	8867192	363883	405363	588091	163	168	237
TComTURecurse::nextSection	71206048	31500312	16442226	755760	946786	477621	80	194	28
TEncSearch::xEstimateResidualQT	69325036	26175992	23180546	2179453	4792650	1728659	7919	7279	237
TComRdCost::calcRdCost	66234484	22986666	14218847	431114	2633552	58972	527	99	0
TComDataCU::initEstData	65079324	30252359	27873221	246478	437119	1515957	1426	4115	561
void	64599009	36697277	2670551	34964	661450	199944	53	6033	48
TComRdCost::getDistPart	64265621	20889577	36935765	1117562	552010	386584	394	0	100
fastForwardDst	64261698	29422782	7758246	309979	146382	414273	83	6995	7
TEncSearch::xPatternRefinement	64231359	24641332	14740604	190352	3590598	2274872	1025	16792	0
TComRdCost::xGetSSE32	63977580	28082133	27152307	90057	862806	72677	365	0	2
TComYuv::addAvg	63808900	24382610	5396493	108302	773200	344065	1128	1	148
TEncSbac::codeQtCbf	61685963	25472483	15612167	1422355	2021781	285596	330	68	64
TEncSbac::codeIntraDirLumaAng	60000160	20747785	20955874	1210758	1616404	681835	79	233	57
TEncSearch::xTZSearchHelp	56005669	23679090	17564278	195116	2023215	149565	912	0	3
TEncSampleAdaptiveOffset::getBlkStats	55425127	18147735	10537207	181	2020273	123812	181	17087	20227
TEncSbac::xCopyContextsFrom	51838740	20735496	20735496	55015	3210569	785168	131	2634	269
TEncSearch::xPatternSearch	50686588	19990500	17667719	82657	2842088	2325675	517	0	0
TComYuv::subtract	49825478	16955938	7220196	196563	695963	442235	866	314	2040
TEncBinCABAC::copyState	48734472	26397839	20306030	87606	3565462	1018030	14	26575	433
TEncSearch::predInterSearch	48172970	10015360	21167904	1699011	1952389	1824130	10210	1167	1381
TComTrQuant::xQuant	46754235	21251925	15301386	298056	761516	2332436	39	0	3504
TComPrediction::predIntraAng	46437661	18839090	12346788	418254	1635144	111508	170	133	86
TComRdCost::xGetSAD24	45853318	12051011	410669	1357	301332	19304	60	454	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	44533580	12579548	7852164	68292	1885442	2137791	125	217	39875
TComPrediction::initAdiPatternChType	43406264	16735151	12419822	1088426	1582740	1036015	508	3535	1759
TComDataCU::getIntraDirPredictor	43128357	14271004	11286709	908119	1435711	359062	239	4203	63
TComTrQuant::xIT	40390498	8864758	8172243	455934	626384	776190	506	867	217
TComYuv::removeHighFreq	40370289	11688313	5002641	115873	659086	2427	784	0	0
TComDataCU::getQuadtreeTULog2MinSizeInCU	39654844	16815000	5562809	431722	1787514	74133	289	68	33
TComTrQuant::calcPatternSigCtx	39449578	15975610	1910175	57661	91879	0	40	0	0
TEncSbac::xCopyFrom	38015076	17279580	17279580	88795	4412710	203600	77	27200	40
TComDataCU::getPUAbove	37251352	17795503	8469067	717175	661013	173923	729	11492	34
TComDataCU::getPULeft	36673235	18409018	7516427	601746	1283960	113473	1130	30077	42
TEncSearch::estIntraPredQT	36013477	12501689	17338751	832761	2402055	1319589	936	924	95
TComTrQuant::rdpcmNxN	34853157	16151463	10200924	490098	2262005	1723168	82	3	5325
TEncSbac::estBit	34692087	10883792	21767584	194472	712023	1002233	343	0	2622
TEncSearch::xRecurIntraCodingQT	33620238	13675891	10805931	1982491	3738026	1506721	373	86	233
TComDataCU::setTransformSkipPartRange	33601284	16800642	11200428	67376	609192	25094	144	0	0
TComDataCU::clipMv	32802440	11331752	5367672	124125	564564	64824	439	6	0
xTrMxN	32632052	9576902	8644765	1197980	954820	1259223	1767	3693	6560
TComPrediction::xPredIntraPlanar	32260740	14407704	5590200	259924	38529	331880	196	0	1100
QpParam::QpParam	29079663	12890215	8900813	662351	2767091	143302	23	1667	0
TComDataCU::getCoefScanIdx	29006670	12017918	5316440	886821	766910	305268	98	378	368
TComCUMvField::clearMvField	28616670	1790376	8816606	67197	100429	461750	104	142	11151
TComRdCost::setDistParam	26846532	11404994	8963240	29633	511983	1632570	83	2	0
TEncSearch::xTZSearch	26265900	9440812	11203574	1262355	813887	288205	7782	2	0
TEncSbac::estSignificantCoeffGroupMapBit	25849006	12924503	6802370	373484	832316	680237	156	7	25792
fastInverseDst	24903000	12340820	3209720	162389	36436	193690	40	3147	0
TComPrediction::xPredInterUni	24055869	9554104	7848014	98744	689368	170711	559	328	5
TComTU::getGolombRiceStatisticsIndex	24047967	13021515	2003310	628728	422645	0	13	0	0
TComDataCU::setCbfPartRange	23946300	11973150	7982100	145886	1137195	279260	133	2227	0
TComDataCU::setExplicitRdpcmModePartRange	23939118	11969559	7979706	260527	770181	651161	72	79	1496
TEncSbac::codeLastSignificantXY	23767253	9384612	5310716	499786	670296	13867	196	5286	0
TComCUMvField::setAllMv	23616874	7223096	4457020	75134	518598	343630	464	29	175
TEncSearch::xLoadIntraResultQT	23019731	8489531	4543850	527016	655325	85275	80	94	378
TEncSearch::xEncodeResidualQT	22235743	10001705	4851946	73726	385381	136731	294	0	24
TComDataCU::setCrossComponentPredictionAlphaPartRange	22106088	11053044	7368696	24368	637804	3476	52	0	0
TEncBinCABACCounter::getNumWrittenBits	22050816	12403584	5512704	125475	1481178	131513	8	117735	0
TEncSbac::resetBits	21820974	14027769	7793205	94267	3018224	94356	127	494	8
void	21661124	14249126	867164	7599	198639	75171	21	1109	10
TComYuv::clear	21439299	5540493	4817820	62102	988737	13596	277	64	10
TComPrediction::filteringIntraReferenceSamples	20676052	5104358	1361511	438193	842577	114884	159	8	36
TComRdCost::xGetSAD12	20633878	5710743	493521	1727	173961	8461	51	296	0
TComDataCU::getPUAboveRightAdi	20452926	10143848	4293918	303796	830996	28510	237	4460	5
TEncSearch::xUpdateCandList	19785470	5177096	2675613	28969	292531	3171	29	5	0
QpParam::QpParam	19571696	5001635	3464334	520053	432183	912	21	2798	0
TComCUMvField::setAllRefIdx	19094106	5776764	4074842	134177	224061	92321	639	2	57
TComRdCost::setDistParam	18715861	9908397	6605598	297760	1472130	14911	27	959	0
TEncBinCABAC::resetBits	18703692	4675923	10910487	57631	209006	0	7	2	0
TEncSbac::codeQtCbfZero	18438780	8265660	7629840	59682	486644	19208	35	25456	0
TComDataCU::getPUBelowLeftAdi	18420898	9439427	4153448	230048	660148	14787	96	7776	0
TEncEntropy::encodeCoeffNxN	17458184	9692564	4892612	369927	277228	695726	35	1612	66
TEncSearch::encodeResAndCalcRdInterCU	16375900	5854031	6029524	726926	1047310	341747	3110	765	32
TEncSearch::xModeBitsIntra	16342830	8776705	6355545	33702	1613999	7210	51	23	0
TEncEntropy::estimateBit	16325688	7482607	5441896	40680	956627	176194	183	5399	0
TComDataCU::getPartIndexAndSize	16266664	7305116	2556520	59144	847704	116638	343	172	19
TComRdCost::xGetSSE64	15655300	6915175	6803825	12690	236660	20431	237	0	0
TEncSearch::xGetTemplateCost	15558180	6686160	5271780	298919	1135212	160517	1352	38	0
TEncSbac::load	15276444	5092148	6365185	33480	576300	909	135	0	1
TComDataCU::getInterMergeCandidates	14776392	4973271	5128487	1041315	388418	151438	4424	6445	25
TComYuv::copyToPartComponent	14771848	5281648	3713920	79184	157802	21982	419	1505	0
TEncSearch::xMotionEstimation	14448624	6092415	4737702	701691	972420	191949	3286	350	0
TComDataCU::xAddMVPCand	14313747	5843312	2925396	201293	1204530	81786	681	3989	10
partialButterflyInverse4	14255500	7372130	2117960	151544	25105	126011	65	33	133
TComTU::GetEquivalentLog2TrSize	14193003	6451365	1290273	149789	522844	0	8	0	0
TEncSbac::xWriteCoefRemainExGolomb	13639015	5585742	3577714	107098	15462	6009	95	0	0
TComDataCU::fillMvpCand	13585125	4198104	5278466	431518	587253	134323	1564	8657	44
TEncSearch::xExtDIFUpSamplingQ	13131713	4637439	6718487	523889	763419	49173	2457	22	0
TComDataCU::getCtxQtCbf	12825948	6639336	0	271877	167511	0	99	0	0
TEncSearch::xRecurIntraChromaCodingQT	12406324	4460543	4432906	452252	567918	185905	151	113	92
TEncSearch::xEncodeResidualQT	12367263	5687209	4082395	245894	473631	174922	677	70	10
isLeftAvailable	12308142	4599337	3633444	351824	145540	18490	61	7744	0
TComTrQuant::getSigCoeffGroupCtxInc	12211410	4090416	914985	23331	10518	0	20	0	0
TEncSearch::xGetInterPredictionError	12145280	3795400	5422000	127589	468736	164115	270	57	0
TEncBinCABACCounter::encodeBinsEP	11916740	4333360	3250020	105722	4818	428	2	0	0
TComDataCU::xGetColMVP	11703854	5464692	1815620	138520	1609906	108705	826	14949	0
TComPrediction::xPredInterBi	11637299	4453960	3579403	161268	297702	54309	475	529	0
TEncSearch::xEstimateMvPredAMVP	11421064	4347189	5209465	258202	656241	497131	873	133	28
TComCUMvField::setAllMvField	11377204	4612380	5842348	100668	43714	1263	293	0	0
TComYuv::copyPartToPartYuv	11254944	2462019	3165453	67337	59670	2559	328	0	0
TEncSbac::getNumberOfWrittenBits	11025408	6890880	2756352	0	94091	47945	0	0	3
TComDataCU::getPUBelowLeft	10889164	5518562	2085420	130356	743741	74570	634	14663	12
TEncEntropy::encodeQtCbf	10879610	6216920	3885575	96689	235226	59595	63	0	10
isAboveAvailable	10679940	3569382	3745474	473118	85290	75247	101	404	27
TEncSearch::xCheckBestMVP	10679004	4135513	2260857	184500	453024	42772	515	61	0
isBelowLeftAvailable	10587427	4048899	3288824	389552	38204	23587	243	0	0
TEncSearch::xEncSubdivCbfQT	10545061	4320363	3145176	705465	527680	10653	102	44	0
isAboveRightAvailable	10040499	3569382	3381252	576154	45936	31478	53	0	0
TEncSbac::loadIntraDirMode	9987285	4842320	3329095	19567	1386492	8750	14	50	0
TComTU::useDST	9963783	6045763	1193518	55573	100014	0	8	0	0
TComDataCU::getPUAboveLeft	9859592	4425902	2185419	580886	320847	173822	638	4770	91
TEncSearch::xEncCoeffQT	9613135	4554753	2952509	556173	399204	19568	38	1	0
TComDataCU::setTrIdxSubParts	9493344	4746672	2768892	626738	1126368	0	199	0	0
TEncSearch::xGetIntraBitsQT	8997820	4067200	4424875	340790	513204	14635	35	248	18
TComPrediction::motionCompensation	8563374	2484892	3776542	203404	64763	46907	810	16	0
TComTrQuant::invTransformNxN	7845673	3817193	2921018	422342	201200	141868	73	0	7
TEncEntropy::encodeQtCbfZero	7629840	4450740	2543280	37674	827075	28786	115	6932	0
TComDataCU::setMVPIdxSubParts	7628671	3509747	2014184	98598	554843	93120	755	142	0
TEncSearch::xMergeEstimation	7507591	3166278	3047409	186956	331096	36137	918	4	0
TComDataCU::initSubCU	7363872	2807424	3125520	98198	161540	81852	746	309	477
TEncSearch::xRecurIntraChromaCodingQT	7340484	2615084	2695522	285736	331793	162106	149	95	86
TEncSearch::xExtDIFUpSamplingH	7245630	2324070	4146870	330710	408631	66987	1842	12	0
TComDataCU::setMVPNumSubParts	7233693	3328575	1913562	42691	188585	23521	418	2	0
TComYuv::copyToPicComponent	7115852	2935436	1860915	64892	129078	20562	269	799	25
TEncSearch::xStoreIntraResultQT	6990508	3374728	1868153	232539	394359	370	24	0	0
