BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComRdCost::xCalcHADs8x8	645852337938	243468940764	154117038858	10912324	2651922730	731305076	18693	316967	113250
void	472409086205	277379333658	18299616450	11653653	3546385445	1453190247	17312	700246	7510593
TComInterpolationFilter::filterHor	251200188221	136492853473	12570832966	31031998	1369240109	1092831469	47359	12275110	5309042
TComTrQuant::xRateDistOptQuant	221167144098	83566199753	48608178298	485069895	5040478252	4748336913	194830	831536	71065146
TComRdCost::xGetSAD16	117127448172	31664929097	2048019589	1728375	599781978	11282361	5766	3381434	9121
TComRdCost::xGetSAD8	109139626936	31478013562	3909827858	6008581	571117363	25339462	7805	4090846	9723
TComRdCost::xGetSAD32	96822658600	25170592350	715051750	807640	613540646	10641363	5449	2969616	9511
TComInterpolationFilter::filterCopy	90480153878	23165132527	9227179934	16168991	787830437	899389635	43808	11016530	8602920
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	69284398728	17684342891	14353153635	59069931	4342851952	3508853106	117348	9518993	21080536
TComRdCost::xCalcHADs4x4	61953718000	22988090100	13368960200	17859443	199860202	34273617	32238	27893	4417
TComRdCost::xGetSAD64	55337505600	14099049824	167286304	309833	531261698	7155280	4904	1918778	5899
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	47197600830	6419858258	22655585967	59766866	259000578	8510766841	48101	92938	235535427
TEncSearch::xEstimateResidualQT	28676439953	11255237037	9572921988	309481606	1617177938	380556236	74659	827677	150351
TComInterpolationFilter::filterVer	28091622725	15287034706	2681015948	34115228	277714309	151021037	59250	1057977	6209287
TComRdCost::xGetComponentBits	23033266436	2148004128	0	1336309	0	0	1149	0	0
partialButterfly16	22956698736	12366469248	2073879936	19989897	84750017	146541770	24332	24558	756729
partialButterfly32	22187203674	12713296528	1333665060	8278361	149589436	113972052	17126	24801	1455737
TComRdCost::xGetSAD4	20598138798	6471801843	1180443221	5663316	158097709	13288349	4675	1361030	2624
partialButterflyInverse32	20382011130	11211806580	1469055900	8038701	99007252	59223367	59592	20306	114244
TComRdCost::xGetHADs	19753194051	7541457738	6378590941	15446642	99619184	31903140	9755	0	239
TComTrQuant::getSigCtxInc	19393107745	5912500258	1560526456	4695106	249193246	43443429	5858	3769	0
void	17022074475	9655396355	735683357	9391580	173699255	50298732	10056	2033725	129333
partialButterfly8	16241590224	8240126208	2135398560	79376448	98768556	178513678	26154	17605	442999
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	14438216722	2982729290	4343142520	28006207	54480557	1883350548	2472	5755	162302170
TEncSbac::codeCoeffNxN	13173696648	4499293060	3826822893	144080991	178169034	99469557	62345	215961	1915774
TComYuv::addAvg	12446550012	4756110174	1053177555	17692053	143801434	66968889	44335	269314	197798
TEncEntropy::countNonZeroCoeffs	11669853041	1341120969	25014730	1565967	139798732	0	2192	752741	0
TEncSearch::xTZSearchHelp	11538278908	4872806290	3625710980	25365867	392731591	9261527	30762	72185	7953
partialButterflyInverse16	11523790464	6718946944	962274368	21287022	244692494	69737358	16674	16710	77558
TComPrediction::xPredIntraAng	11277422652	3518639523	1466689509	21036413	62993433	75990781	14114	2133	472039
partialButterfly4	11062959288	5102841000	1959490944	13321719	57174473	113983071	6916	2093	1678013
__x86.get_pc_thunk.bx	10817218910	10817218910	0	3	0	0	1	0	0
TComTrQuant::xDeQuant	10790973455	4092329196	582669823	21135924	49889073	58730799	8465	74031	243
TComTrQuant::xT	10319681824	2481941144	2031275356	49027822	336764062	270507967	10475	2823	2330222
TEncSearch::xPatternRefinement	10222497711	3920795051	2350780606	12580594	464626703	287701044	17844	23947	0
TEncSbac::estLastSignificantPositionBit	10210672815	4106808969	1666525233	60123754	149800751	109772922	18051	11509	193035
TComPrediction::xPredInterBlk	10205384371	4189789978	1955432953	33358199	378544607	69864077	37521	550056	11741
TEncSbac::estSignificantCoefficientsBit	10192219421	3956943511	2041278122	20894655	63042206	159393422	19117	11795	19827
TEncBinCABACCounter::encodeBin	8404620723	4046669237	2490257992	5739600	400812032	11478881	4969	27020	12484
TEncSearch::xPatternSearch	8072586461	3183681415	2810682757	5411479	378072015	379648725	21997	61392	55733
TComRdCost::xGetSAD24	8068137552	2120440104	72259416	80152	52260415	772892	1795	203291	312
TComRdCost::xGetSSE4	8062095105	3111685830	1791576690	42571213	69508352	40254657	12501	1423	9440
TEncSearch::xIntraCodingTUBlock	7074500105	2628736913	1421802754	74508166	160792361	96484442	43914	162521	1395747
TEncSearch::xTZSearch	6960344538	2614587043	2733588156	155905569	173243964	39631754	349151	76343	8782
TEncSbac::estSignificantMapBit	6897923418	2555043780	1218275312	71219105	209941030	154194107	15095	12359	77860
TComYuv::addClip	6826197837	1824987523	633107425	16493846	75943732	33022014	39662	4811	171130
TComYuv::removeHighFreq	6779356818	1961006370	844734162	7428647	128775452	236899	16185	63350	0
TComRdCost::xGetSSE16	6778458248	2938401832	2734143512	18790784	100233378	17343530	10534	7789176	93725
TComTrQuant::transformNxN	6425335751	3107492064	2462647314	92141618	270622401	44198130	31905	305655	0
TComRdCost::setDistParam	6302313915	2677758856	2104518163	1919469	54306184	381287959	2395	40657	24339
void	6094392816	4008067504	245256208	2197603	61476187	22274934	7063	511632	588292
TComRdCost::xGetSSE8	6066092532	2563706328	2190253044	41450743	71706482	18081852	17424	2445	132695
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	5969613370	5969613370	0	3509135	0	0	4659	0	0
getTUEntropyCodingParameters	5879757917	2523004682	1444932258	41078966	228726313	170836334	28298	429121	8627826
TComRdCost::xGetSSE32	5371378380	2357697213	2279631627	6876592	71688019	4504849	11527	11991042	824
TEncSbac::estCBFBit	5285643300	2454048675	1245901635	80208324	292441261	129771683	29869	31466	70567
TComRdCost::calcRdCost	5266850756	1832545962	1147060111	23083028	166143985	3587385	11775	17957	3
TComYuv::copyPartToPartComponent	5010041479	1783645960	1034573176	18805154	43825338	2709320	30402	18723	1373
TEncSearch::xEstimateResidualQT	4818489141	1822687759	1616427944	159283307	356223556	116449506	272682	127265	91483
TComRdCost::getDistPart	4696973482	1521034698	2706576472	57405554	37099080	37869703	11991	343	7254
partialButterflyInverse8	4646251896	2457521664	570074136	21091189	25763438	36328898	13221	6383	70354
TComTU::TComTU	4585581486	1664311911	1607796377	26021690	98877315	91710118	22858	61553	151054
TComTrQuant::xTransformSkip	4529439420	1255890021	905887884	57055102	69275389	71521034	12636	64	0
TComDataCU::clipMv	4389720335	1516448843	718317873	14362515	84690457	6317181	14268	78434	68
TEncSearch::predInterSearch	4058661809	1055699529	1678292858	111630490	233924035	149764855	288438	438597	177406
TComDataCU::initEstData	4031788896	1886975200	1732673008	15038403	37134696	99318695	40232	5300	71142
TComRdCost::xGetSAD12	3959757172	1095923682	94709454	153899	25259097	390861	1895	117629	462
TEncSbac::codeQtCbf	3940511170	1627015470	997203030	69274416	141335863	17992218	12406	815	15941
TComTURecurse::nextSection	3882404598	1713429174	905087597	47440974	63326572	23977311	14345	131947	1311
TComYuv::subtract	3821830573	1298721775	558553710	13463330	55302342	34583653	27282	59781	155083
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	3211422944	899289376	568193640	7184359	135883266	153040892	9125	3740	31865
TEncSbac::xCopyContextsFrom	3064455030	1225782012	1225782012	2192654	191381141	67584169	2949	71167	45800
TComTrQuant::xIT	3043333406	657694722	606930975	23879944	60591131	81683314	4517	1008	573753
TComDataCU::xAddMVPCand	2844771587	1144039838	528359204	18174626	235041673	7258694	26153	2462550	3027
TComTrQuant::xQuant	2766811795	1257641725	905502042	12006753	60036221	128401545	7317	0	451436
TComTrQuant::calcPatternSigCtx	2660773016	1075223112	123485695	3181789	7406970	0	9577	0	0
TEncBinCABAC::copyState	2568534864	1391289718	1070222860	2933908	233199700	54302193	5028	28601	168987
TEncSearch::xGetTemplateCost	2465760264	1059665568	835505544	32670040	151164425	29165306	31719	91846	4915
TComYuv::clear	2442950676	631324332	548977680	4508612	134782895	882518	9363	43918	1447
TComDataCU::getQuadtreeTULog2MinSizeInCU	2385499457	1009143816	331054661	13467081	81724790	5550662	7764	401676	49433
TEncSampleAdaptiveOffset::getBlkStats	2353540825	770400777	446888490	1921	109802139	5785092	1921	1638420	805735
TComDataCU::setTransformSkipPartRange	2352850110	1176425055	784283370	3531371	25211686	331811	5943	168	0
TEncSearch::xMotionEstimation	2296942416	968461716	753298816	68140722	168620379	31591918	86142	93262	10531
TEncSbac::xCopyFrom	2247267022	1021485010	1021485010	2020165	219678799	10489614	1618	126794	49946
TComDataCU::fillMvpCand	2207028694	673532264	903496994	44645810	98150510	26911127	45296	1277941	4775
TEncSearch::xExtDIFUpSamplingQ	2088315639	736334670	1065354380	51393066	126809581	7196190	91464	165317	1471
TComTrQuant::rdpcmNxN	2062532429	955807711	603668028	20768242	112134583	99373756	11210	376	532999
TEncSbac::estBit	1925484345	604073520	1208147040	9098931	38508791	40997527	10770	303	57672
xTrMxN	1871648666	548378732	502832475	57828116	63051326	71075569	14116	6352	629399
TEncSearch::xEncodeResidualQT	1850626705	860124836	410130834	5505178	56816215	12065447	10318	0	10643
fillReferenceSamples	1842733280	514377003	246736855	31481558	27125401	36865655	16534	416713	719943
TComDataCU::getPUBelowLeft	1836441896	931459177	350577822	15759389	135327913	12493731	13198	390986	2730
TEncSearch::xEstimateMvPredAMVP	1816536096	691390128	829662300	21580916	113495985	85194911	42488	12487	10509
TComPrediction::xPredInterUni	1730591559	687327144	564590154	8196460	62457486	9659978	7022	81434	5343
TEncSearch::xCheckBestMVP	1706553237	662332036	361411980	16682069	66047820	6935809	23780	12323	0
TEncSbac::codeLastSignificantXY	1690793172	667932860	373238288	15427297	63660521	1119463	12553	1854	0
TComCUMvField::setAllMv	1665304631	501586554	318683202	5909700	27983848	30784427	12336	51016	23705
TComCUMvField::clearMvField	1656433224	96482688	510290240	4101124	7432911	27823608	6170	6560	520731
TComDataCU::xGetColMVP	1647844230	707921676	234905832	12334126	235945275	4587268	25539	3015527	2084
TComDataCU::getPULeft	1599145873	805716272	325721075	30445407	81708738	4263547	9667	316998	9284
QpParam::QpParam	1564753307	700715967	474244829	24938944	141577292	7203911	3984	29719	0
TComDataCU::setCbfPartRange	1541243988	770621994	513747996	4687590	49608554	15016092	3556	341	0
TComDataCU::setExplicitRdpcmModePartRange	1541167092	770583546	513722364	7102725	30267094	34715304	4120	1246	248253
TComDataCU::setCrossComponentPredictionAlphaPartRange	1513350630	756675315	504450210	1383059	25197041	0	2213	28	0
TComTU::getGolombRiceStatisticsIndex	1508076014	816569442	125626068	19377734	29199160	0	3079	23	0
TEncSbac::estSignificantCoeffGroupMapBit	1434674610	717337305	377545950	12277873	45781106	37968185	4587	2802	2783
TComDataCU::getPartIndexAndSize	1386478842	622421869	218261825	4301707	79694750	10282518	15040	19690	6657
TComRdCost::setDistParam	1379645132	730400364	486933576	11804938	87625767	1258947	1274	13054	0
TComDataCU::getCoefScanIdx	1358455564	614358595	319369233	26616783	38345110	19611431	6459	8429	1132099
TComRdCost::xGetSSE64	1354459720	598284670	588650930	1146848	20481533	1769683	9860	9472	1260
TEncSbac::codeQtCbfZero	1337972768	599780896	553643904	4426223	110339830	2258740	5281	0	0
TComCUMvField::setAllRefIdx	1289519214	387988401	275188063	9134836	17986388	9263579	28867	6351	3672
partialButterflyInverse4	1280105400	661997364	190187088	13943281	1085886	11872321	4414	747	173196
TEncSbac::resetBits	1267817418	815025483	452791935	3015617	152349872	7472111	4141	217354	1368
TEncBinCABACCounter::getNumWrittenBits	1238268976	696526299	309567244	2982765	103121631	1526080	2456	312519	0
TComDataCU::getPUAbove	1235216544	592404917	277892831	32074443	43040632	3369896	14215	83732	32298
TEncEntropy::encodeCoeffNxN	1159789337	636913136	328569545	12947286	22897315	37397193	4879	1190	221693
TEncSearch::xExtDIFUpSamplingH	1151766108	369434412	659186892	41723929	90871863	2893129	30964	95590	2201
TEncBinCABAC::resetBits	1086700644	271675161	633908709	1790381	13140239	0	1595	378	0
QpParam::QpParam	1078475016	273792571	183756990	22921266	20263938	239156	2356	4238	0
TEncSearch::encodeResAndCalcRdInterCU	1067877473	385118699	396902786	49334920	63596749	20475275	100077	359000	24896
TComDataCU::xAddMVPCandOrder	1064230743	339977230	247605656	19448104	56616845	1838675	23463	741677	1
fastForwardDst	1036815274	474714966	125173598	4469992	3197926	7047723	3104	188	2338
TComRdCost::xGetSAD	999880576	276616544	6714208	214469	9963627	226000	838	4299	108
TComDataCU::getInterMergeCandidates	968578806	342658436	324617198	68962905	28264047	9304571	155548	246922	9615
TEncSbac::load	960124128	320041376	400051720	1894066	28961997	2643181	2078	0	32
TComPrediction::xPredIntraPlanar	953692199	437440518	164195626	5103892	1840822	9026300	4231	22	165932
TEncSbac::codeIntraDirLumaAng	951676614	329401282	327450420	18883819	13051038	7771987	11440	3485	50
TEncSearch::xEncodeResidualQT	944044416	419804390	325702063	18358355	38597852	14872071	37957	68834	2626
TEncEntropy::estimateBit	906110280	415300545	302036760	2463816	47297832	4406318	6184	4488	0
TComPrediction::initAdiPatternChType	897445677	339767581	235375703	20311926	27545042	21528331	9634	47544	224818
TComPrediction::xPredInterBi	857146613	328594744	268840093	12083221	26280487	5240256	14584	39685	2893
TComTU::GetEquivalentLog2TrSize	842599989	382999995	76599999	3991342	3578549	0	1602	0	0
TComDataCU::getCtxQtCbf	842466888	441418540	0	6976878	6073486	0	1636	0	0
