BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComTrQuant::xRateDistOptQuant	134120509	51181106	27351106	1006188	2917424	3100942	17449	1481	39223
TComRdCost::xCalcHADs8x8	53074560	20007680	12664960	3808	134460	113128	68	110	0
TComPrediction::xPredIntraAng	42108947	13031645	5908332	129462	290196	308465	5023	4	2676
TEncSearch::xIntraCodingTUBlock	32108398	12001663	6632266	492156	828048	432163	72	9454	8528
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	30316821	9342289	7332950	113064	2201070	2170083	335	116512	170589
TEncSbac::codeCoeffNxN	27136226	9530022	7171228	297638	250799	99563	50	166	9821
TComTrQuant::getSigCtxInc	20889981	6915947	1836124	4209	476087	65046	5	3	0
TEncBinCABACCounter::encodeBin	12888882	6205758	3818928	14720	374577	4735	2	11	225
partialButterflyInverse32	12556728	6907248	905040	4985	30186	35962	2716	3208	0
TComTrQuant::xDeQuant	11551312	4360542	702952	68898	56037	68923	11262	0	3668
partialButterfly32	9810072	5621184	589680	3648	45110	51226	2016	1520	3363
fillReferenceSamples	9666616	2669054	1281552	210369	123703	164250	1061	1643	520
TComRdCost::xCalcHADs4x4	8911000	3306450	1922900	12986	3651	22719	164	0	0
partialButterflyInverse8	7191756	3803904	882396	36167	42604	59093	808	3707	320
partialButterfly8	6790836	3445312	892840	43526	44947	78959	7149	23	2768
fastForwardDst	6689482	3062838	807614	38200	21063	46865	99	1	642
partialButterflyInverse16	6442980	3756580	538010	12338	150031	38947	5931	16	6072
TEncSbac::codeIntraDirLumaAng	6333829	2191044	2207724	137445	60139	55870	15	79	146
TEncSbac::estSignificantCoefficientsBit	6235127	2427685	1237286	40552	74111	95111	8	4	7
TEncEntropy::countNonZeroCoeffs	6216036	741828	28776	7434	63123	0	1	47	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	6063362	1300466	1730360	61435	39062	774054	0	0	49731
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	5927327	1634940	1435259	82123	53470	397665	55	26	96558
TEncSbac::estLastSignificantPositionBit	5841489	2332707	963819	105176	108259	58294	11	3	5
__x86.get_pc_thunk.bx	5700252	5700252	0	3	0	0	1	0	0
partialButterfly16	5379750	2898000	486000	6856	38463	36559	1071	25	1422
TComPrediction::predIntraAng	4804714	1949200	1277897	51602	118319	12822	466	366	30
TComDataCU::getIntraDirPredictor	4542892	1504170	1189245	102434	125079	7157	36	18	195
TComTrQuant::xT	4516462	1112102	902038	65353	110908	116609	2485	1602	1053
TComPrediction::initAdiPatternChType	4400121	1699459	1274747	131900	128325	102425	359	9	696
TVideoIOYuv::read	4238958	623208	604489	32	6219	40781	31	1	38400
TEncSbac::estSignificantMapBit	4021372	1488989	710192	92881	115149	96708	8	5	11
TEncSearch::estIntraPredQT	3738909	1298874	1797944	87598	127216	63168	82	854	28
fastInverseDst	3617100	1792474	466204	23832	4011	28133	99	1	937
TEncSearch::xRecurIntraCodingQT	3509239	1429106	1136934	218770	219255	135072	56	9183	6600
getTUEntropyCodingParameters	3412399	1462919	838852	93119	123149	97319	8	15	3931
TComTrQuant::xIT	3378292	758438	697892	52922	70243	52791	512	325	280
TComTURecurse::nextSection	3312218	1481689	734706	32544	27798	11017	7305	100	345
TComRdCost::xGetHADs	3265990	1280860	972510	5140	33455	23765	32	0	0
TComDataCU::getPUAbove	3250398	1550983	741472	56767	41645	10077	6	2	739
TComRdCost::xGetSSE4	3228993	1246278	717554	70712	13177	10381	861	0	3033
TEncSbac::estCBFBit	3079020	1429545	725769	144996	202342	83495	9	8	4
TComDataCU::getPULeft	3009713	1509281	618251	46691	68286	13442	39	25	3382
TComPrediction::xPredIntraPlanar	2875036	1271580	499232	26410	6370	32364	140	0	993
TComTrQuant::transformNxN	2829897	1366360	1089662	168696	117203	19633	3558	155	0
partialButterfly4	2639540	1217500	467520	9839	14610	26548	77	4870	12
TComYuv::copyPartToPartComponent	2497834	928260	506092	47789	50242	3076	12	51	0
TEncSearch::xLoadIntraResultQT	2410240	888712	475696	61752	54426	10656	24	19	84
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	2398104	2398104	0	306	0	0	2	0	0
TComTU::TComTU	2312982	796763	704898	18141	34624	26457	137	162	479
TEncSbac::codeLastSignificantXY	2311800	918822	521247	62261	75877	1261	15	2	0
TEncSbac::xWriteCoefRemainExGolomb	2206172	900962	577710	15981	18	277	6	0	0
TComPrediction::filteringIntraReferenceSamples	2132130	526616	140664	46026	21558	10862	151	2	354
