BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	835896	159425	162614	561	3548	11860	149	34	4054
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	581877	105090	42030	36	6069	531	9	2131	7
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	409845	158192	66556	113	12176	680	28	1037	16
initROM	329111	79859	35725	19	372	2983	19	0	32
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313386	70728	46933	251	2152	1330	42	16	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	250210	71503	35754	7	2204	2104	7	3	2
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194769	42625	4955	151	842	0	30	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185688	38867	5230	79	599	1	19	254	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-machine.h:_dl_relocate_object	181502	48969	23333	24	2687	2994	24	1651	881
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	168319	54010	0	27	1237	0	1	173	0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	158878	52581	39255	23	10176	337	16	28	1
df::program_options_lite::Options::addOption	146684	45001	44151	161	9075	195	29	2	0
TEncSbac::TEncSbac	112788	1404	48750	58	65	5162	29	0	5006
