BasketballPass__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	144695165400	54546181200	34528001400	2374352	661237106	172382566	25832	49763	9607	144692765216	53884894331	34355609227	0.357614901677 %	0.00164093388569 %	0.935871256595 %	3.64470366748e-05 %	1.78527042895e-05 %	6.66523096447e-05 %
void	104022921196	61036976536	4101163708	2645580	665219934	330675036	13175	36590	270622	104020262441	60371720012	3770218050	0.590289834729 %	0.00254326639704 %	1.52889684334 %	0.000189397605615 %	1.26654778087e-05 %	0.000471631518568 %
TComInterpolationFilter::filterHor	53953828074	29281924607	2751951552	6080833	266145687	240662513	27820	1623745	184761	53947719421	29014155175	2511104278	0.596467875931 %	0.0112704384787 %	1.58210076572 %	0.00213556812149 %	5.1562606386e-05 %	0.00564560464373 %
TComTrQuant::xRateDistOptQuant	44061594543	16566706912	9840376439	89124871	1053441711	964880479	140315	81160	329932	43972329357	15513184041	8875166028	2.99061529744 %	0.202273367372 %	7.64310909756 %	0.000782485235255 %	0.00031845193406 %	0.00155674897729 %
TComRdCost::xGetSAD16	25926892344	7009389922	453780346	401674	172547447	7508488	6797	566029	75	25926483873	6836276446	446271783	0.540453041664 %	0.00154925624973 %	2.41259315457 %	0.00171578294613 %	2.62160227682e-05 %	0.00758530195174 %
TComRdCost::xGetSAD8	24633553844	7104944898	882939182	1508855	161078297	6852881	9495	896543	106	24632035494	6942970058	876086195	0.519413133764 %	0.00612520227311 %	2.10232367318 %	0.00277775615566 %	3.85449864852e-05 %	0.0112251128211 %
TComInterpolationFilter::filterCopy	22616562562	5841743987	2298212474	3809635	173032517	225182919	11019	2464709	337834	22612741908	5666246761	2072691721	1.30712149414 %	0.0168444474688 %	4.89210769011 %	0.00914785576969 %	4.87209317057e-05 %	0.0344294593396 %
TComRdCost::xGetSAD32	18851820304	4901449944	140795848	180631	104331875	2590473	4724	402113	47	18851634949	4796715956	138205328	0.448240908725 %	0.000958162114253 %	2.12053026391 %	0.00170286630315 %	2.50585881035e-05 %	0.00797581110858 %
TComRdCost::xCalcHADs4x4	14926108160	5538371712	3220897024	3403922	54246667	7952150	22069	6464	325	14922682169	5484118581	3212944549	0.2769757023 %	0.022805154321 %	0.710091434281 %	0.000121838888723 %	0.000147855018625 %	7.75064700561e-05 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	14538145016	3726987217	2999902766	12042244	873324598	792055514	108660	2394361	5569504	14525994112	2851268258	2202277748	7.88817115081 %	0.0828320531041 %	24.757058852 %	0.0379614940694 %	0.000747413097616 %	0.118388512673 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	11076032461	1425217539	5449388269	10494228	91038688	2034793788	39640	25191	3305844	11065498593	1334153660	3411288637	11.9011183446 %	0.0947471762741 %	30.922972682 %	0.0187774660126 %	0.00035788988647 %	0.048454196401 %
