BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	645852337938	243468940764	154117038858	10731990	2820639609	1069756072	18619	316967	113941	645841587329	240647984188	153047168845	0.373872379934 %	0.00166167858651 %	0.978504243208 %	4.30813199434e-05 %	2.88285710313e-06 %	0.000108381085372 %
void	472409086205	277379333658	18299616450	10661669	2850971493	1421580470	17186	700539	7349013	472398407350	274527661626	16870686967	0.557646185008 %	0.0022568721287 %	1.44499700146 %	0.0010502361212 %	3.63794865549e-06 %	0.00272239603024 %
TComInterpolationFilter::filterHor	251200188221	136492853473	12570832966	28280512	1319576647	1105097530	46367	12029609	3623788	251171861342	135161247217	11462111648	0.612834393582 %	0.0112581571695 %	1.6266028534 %	0.00392235347578 %	1.84581868065e-05 %	0.0105011471096 %
TComTrQuant::xRateDistOptQuant	221167144098	83566199753	48608178298	499768965	5201846699	4826024871	201271	267659	1928092	220667173862	78364085395	43780225335	2.97945185467 %	0.225968901049 %	7.58684982511 %	0.000678386730612 %	9.10040235953e-05 %	0.00166125313573 %
TComRdCost::xGetSAD16	117127448172	31664929097	2048019589	1721319	478652131	13504496	5765	3492299	10616	117125721088	31182784667	2034504477	0.327417559412 %	0.00146961197129 %	1.45984449946 %	0.0023260877544 %	4.92198890181e-06 %	0.0103904141777 %
TComRdCost::xGetSAD8	109139626936	31478013562	3909827858	5995602	487483534	21056301	7805	4286210	8891	109133623529	30986243818	3888762666	0.356012211971 %	0.00549351520462 %	1.4370467782 %	0.0029772236717 %	7.15138966397e-06 %	0.0121372223556 %
TComRdCost::xGetSAD32	96822658600	25170592350	715051750	804748	578112145	14012548	5449	3014875	5589	96821848403	24589465330	701033613	0.483202381545 %	0.000831156685466 %	2.28746362545 %	0.00246593990253 %	5.62781489249e-06 %	0.0116684907987 %
TComInterpolationFilter::filterCopy	90480153878	23165132527	9227179934	17365766	718694434	938594401	42484	10763156	3524991	90462745628	22435674937	8285060542	1.3629209626 %	0.0191929006038 %	5.11630294069 %	0.011663012412 %	4.69539431346e-05 %	0.0441096850285 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	69284706216	17684342891	14353153635	59652066	4357915391	4282282139	117151	8967400	20536722	69224936999	13317460100	10050334774	8.58632102398 %	0.0860970180259 %	26.9690158936 %	0.0292347305905 %	0.000169086377641 %	0.0920924703841 %
TComRdCost::xCalcHADs4x4	61953718000	22988090100	13368960200	16278618	189361041	43333753	31833	27893	8295	61937407549	22798701166	13325618152	0.253251415186 %	0.0262754496833 %	0.640026603038 %	6.9189775623e-05 %	5.13819041498e-05 %	9.95350274607e-05 %
TComRdCost::xGetSAD64	55337505600	14099049824	167286304	305738	527560675	6016146	4903	1923464	2463	55337194959	13569565685	161267695	0.767030304285 %	0.00055249689462 %	3.74011109939 %	0.00277402791579 %	8.86017529493e-06 %	0.0134998010892 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	47197600830	6419858258	22655585967	59815882	418075439	8843683314	50248	92965	13242625	47137734700	6001689854	13798660028	12.2213222617 %	0.126735005484 %	31.8542295737 %	0.0175498932688 %	0.000106463038621 %	0.045865472929 %
TEncSearch::xEstimateResidualQT	28676439953	11255237037	9572921988	314845182	1733176906	381608751	74777	26145	20943	28361519994	9522033986	9191292294	4.90788914396 %	1.09792283322 %	10.1534929442 %	0.000246169047959 %	0.000260761099085 %	0.000226078550406 %
TComInterpolationFilter::filterVer	28091622725	15287034706	2681015948	32107097	200980735	138064618	62117	940476	324206	28059453511	15085113495	2542627124	0.805807820099 %	0.11429420548 %	1.88693453468 %	0.00288060879 %	0.00022112286146 %	0.00703850420033 %
TComRdCost::xGetComponentBits	23033266436	2148004128	0	1336309	0	0	1149	0	0	23031928978	2148004128	0	0 %	0 %	0 %	0 %	0 %	0 %
partialButterfly16	22956698736	12366469248	2073879936	20202178	278102374	154775209	24370	24316	64435	22936472188	12088342558	1919040292	1.21153884117 %	0.0880012332449 %	2.99769470588 %	0.000302486442892 %	0.000106156378494 %	0.000614604251387 %
partialButterfly32	22187203674	12713296528	1333665060	8277298	268803578	131594593	17126	25671	300721	22178909250	12444467279	1201769746	1.12787328215 %	0.0373066300811 %	2.85042547096 %	0.000948049989605 %	7.71886365296e-05 %	0.00232357722313 %
TComRdCost::xGetSAD4	20598138798	6471801843	1180443221	5663316	146766737	11184270	4675	1446883	5453	20592470807	6323588223	1169253498	0.579157875515 %	0.0274943093429 %	2.06411328543 %	0.00515749098178 %	2.26962253524e-05 %	0.0189792144378 %
partialButterflyInverse32	20382011130	11211806580	1469055900	8025465	136601092	60237032	59592	21364	0	20373926073	11075184124	1408818868	0.619618220172 %	0.0393752360786 %	1.55224555357 %	0.000244854700033 %	0.000292375465894 %	0.000168474344972 %
TComRdCost::xGetHADs	19753194051	7541457738	6378590941	15446642	72311248	25138812	9755	0	263	19737737654	7469146490	6353451866	0.335271250545 %	0.0781981990362 %	0.700069821933 %	2.97506244953e-05 %	4.93844184126e-05 %	1.88936120889e-06 %
TComTrQuant::getSigCtxInc	19393107745	5912500258	1560526456	5115611	181686149	9770743	7317	3399	0	19387984817	5730810710	1550755713	0.731673934335 %	0.0263785003789 %	2.56197253572 %	3.98866462027e-05 %	3.77298991797e-05 %	4.54835788775e-05 %
void	17022074475	9655396355	735683357	9131771	193781748	51279012	10108	2057091	55195	17012932596	9459557516	684349150	0.927264806034 %	0.053646639917 %	2.35837628805 %	0.00774224660731 %	5.93817164579e-05 %	0.0203278779352 %
partialButterfly8	16241590224	8240126208	2135398560	80403761	103923464	187835435	26188	16052	56872	16161160275	8136186692	1947506253	1.39820810825 %	0.495048575239 %	2.81199173559 %	0.000372361918374 %	0.000161240368947 %	0.000702846377707 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	14438216722	2982729290	4343142520	30942250	103254450	1889606439	2628	5755	1792857	14407271844	2879469085	2451743224	9.2988187216 %	0.21430797581 %	27.2030543352 %	0.00827620231994 %	1.82016938144e-05 %	0.0245515079522 %
TEncSbac::codeCoeffNxN	13173696648	4499293060	3826822893	146044221	194929372	100511083	62453	21178	57793	13027589974	4304342510	3726254017	2.05343499589 %	1.10860470605 %	3.54835864247 %	0.000657791779978 %	0.000474073463727 %	0.000948473459243 %
TComYuv::addAvg	12446550012	4756110174	1053177555	17698031	167757115	77062730	44361	262861	197540	12428807620	4588090198	975917285	1.43799413494 %	0.142192261976 %	4.2142833411 %	0.00276493474121 %	0.000356412017444 %	0.00792525730309 %
TEncEntropy::countNonZeroCoeffs	11669853041	1341120969	25014730	1565967	139354573	0	2135	490139	0	11668284939	1201276257	25014730	1.08101151981 %	0.0134189093427 %	10.2006391533 %	0.00377626898748 %	1.82950033089e-05 %	0.035877768245 %
TEncSearch::xTZSearchHelp	11538278908	4872806290	3625710980	22446941	247444868	1318146	30222	88279	2756	11515801745	4625273143	3624390078	1.35355948421 %	0.194543234558 %	2.92713429998 %	0.000605171599904 %	0.000261928145792 %	0.00107118685658 %
partialButterflyInverse16	11523790464	6718946944	962274368	21309039	115945863	49326377	16674	17851	1448	11502464751	6602983230	912946543	0.971523897909 %	0.184913454185 %	2.1516401271 %	0.000187310481345 %	0.000144691974851 %	0.000251249107611 %
TComPrediction::xPredIntraAng	11277422652	3518639523	1466689509	21131197	54222699	96889784	14134	2030	17253	11256277321	3464414794	1369782472	1.05912998825 %	0.187376119988 %	3.03114362222 %	0.000205481831423 %	0.000125330054891 %	0.000386794931212 %
partialButterfly4	11062959288	5102841000	1959490944	13533801	56808640	115624808	6916	2066	18219	11049418571	5046030294	1843847917	1.02600971548 %	0.122334365044 %	2.44159364594 %	0.000150072071405 %	6.25149186574e-05 %	0.000287228073685 %
__x86.get_pc_thunk.bx	10817218910	10817218910	0	3	0	0	1	0	0	10817218906	10817218910	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xDeQuant	10790973455	4092329196	582669823	21217662	63033134	69999970	8468	0	63	10769747325	4029296062	512669790	0.997355751533 %	0.196624170085 %	2.84562849017 %	5.51598033317e-05 %	7.84729944459e-05 %	1.34759386567e-06 %
TComTrQuant::xT	10319681824	2481941144	2031275356	55531215	347373756	267931702	10775	2823	219886	10264139834	2134564565	1763123768	4.52262705741 %	0.538109759071 %	13.6334132874 %	0.00157409560087 %	0.00010441213386 %	0.00493459598049 %
TEncSearch::xPatternRefinement	10222497711	3920795051	2350780606	12580594	276842481	141095788	17844	26790	0	10209899273	3643925780	2209684818	2.61014276701 %	0.123067711587 %	6.66400744976 %	0.000270606289933 %	0.000174556165278 %	0.000427165380204 %
TEncSbac::estLastSignificantPositionBit	10210672815	4106808969	1666525233	62228872	94725501	111393184	18079	7405	20287	10148425864	4012076063	1555111762	1.67885034531 %	0.609449280449 %	3.57018453788 %	0.000286354979395 %	0.000177059830704 %	0.000479653507507 %
TComPrediction::xPredInterBlk	10205384371	4189789978	1955432953	31128743	405628166	66632028	37444	515779	5893	10174218184	3783646033	1888795032	3.07871706355 %	0.305022739648 %	7.68499693669 %	0.00341954270978 %	0.000366904357923 %	0.00848906550433 %
TEncSbac::estSignificantCoefficientsBit	10192219421	3956943511	2041278122	21125363	137764490	161220554	19288	12782	19827	10171074770	3819166239	1880037741	1.97715680464 %	0.207269507527 %	4.98456146327 %	0.000320540989754 %	0.000189242393666 %	0.000543644466563 %
TEncBinCABACCounter::encodeBin	8404620723	4046669237	2490257992	5739600	422503556	40960061	4969	25474	6729	8398876154	3624140207	2449291202	3.14025841571 %	0.0682910054976 %	7.08993080027 %	0.000248782790909 %	5.91222395843e-05 %	0.000492632071184 %
TEncSearch::xPatternSearch	8072586461	3183681415	2810682757	5405947	212148845	199661969	21995	53246	26999	8067158519	2971479324	2610993789	2.96593605739 %	0.0669667277782 %	6.86996655831 %	0.000726809972306 %	0.00027246533817 %	0.00133867408949 %
TComRdCost::xGetSAD24	8068137552	2120440104	72259416	83220	47617587	1136382	1796	201565	163	8068052536	2072620952	71122871	0.475957162728 %	0.00103146481407 %	2.22346785573 %	0.00198350289135 %	2.22604038221e-05 %	0.0091999837716 %
TComRdCost::xGetSSE4	8062095105	3111685830	1791576690	43882288	135808679	37868611	12501	1423	1247	8018200316	2975875728	1753706832	1.67800676458 %	0.544303774992 %	3.54207610324 %	0.000117011812854 %	0.000155058949779 %	5.44535396404e-05 %
