BasketballPass__QP_32_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComTrQuant::xRateDistOptQuant	32873942	12547900	6938413	238742	723921	692676	175	232	1728	32635025	11823747	6244009	3.16144182262 %	0.726234778902 %	7.2697025856 %	0.0040775202489 %	0.00053233652356 %	0.0100583419757 %
TComRdCost::xCalcHADs8x8	17490480	6593440	4173680	1190	55119	45594	17	7	0	17489273	6538314	4128086	0.360621567295 %	0.00680370121346 %	0.935375476451 %	8.49329030066e-05 %	9.71957316209e-05 %	6.50127424975e-05 %
TComPrediction::xPredIntraAng	13160120	4074078	1835480	38204	59965	90034	37	4	46	13121879	4014109	1745400	0.98692279964 %	0.290301304243 %	2.53824397696 %	0.000456221651986 %	0.000281152451497 %	0.000846086966233 %
TEncSearch::xIntraCodingTUBlock	9980791	3718896	2062962	132857	296628	152643	72	382	2246	9847862	3421886	1908073	3.69308483618 %	1.33112696178 %	7.77035686452 %	0.0171291005719 %	0.00072138570981 %	0.0454525171666 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	9942890	2892883	2265693	31868	608338	569153	241	37814	56863	9910781	2246731	1639677	8.00822251297 %	0.320510435095 %	22.8258922617 %	0.628535004482 %	0.00242384256489 %	1.83533207614 %
TEncSbac::codeCoeffNxN	4348985	1581676	1172388	63875	54021	27403	49	1	19	4285061	1527654	1144966	2.04558633905 %	1.46873350908 %	2.95650355257 %	0.000971413825246 %	0.0011266996782 %	0.000726199536394 %
TComTrQuant::getSigCtxInc	4078709	1285810	343736	1224	78086	1076	8	6	0	4077477	1207718	342660	1.40824122258 %	0.0300094956517 %	4.85791748131 %	0.000245258840048 %	0.000196140494455 %	0.000368200713573 %
partialButterflyInverse32	3953044	2174504	284920	1561	9505	11320	47	82	0	3951436	2164917	273600	0.349101157308 %	0.0394885561608 %	0.846742977217 %	0.00201170594536 %	0.0011889571682 %	0.00333411400393 %
partialButterfly32	3088356	1769632	185640	1142	13554	15787	37	64	466	3087177	1756014	169387	0.604386366322 %	0.036977602323 %	1.50060963385 %	0.0112419076109 %	0.00119804841152 %	0.0271062031267 %
TComTrQuant::xDeQuant	3027133	1145622	172533	14730	12832	16409	12	0	0	3012391	1132790	156124	1.01192372059 %	0.486599036118 %	2.21832789012 %	0.000276161211869 %	0.000396414693375 %	0.0 %
fillReferenceSamples	2999125	817829	402131	58034	29572	54971	51	313	315	2941040	787944	346845	3.37933461876 %	1.93503105072 %	6.92998131086 %	0.0160935368688 %	0.00170049597799 %	0.0514770976098 %
TComRdCost::xCalcHADs4x4	2766400	1026480	596960	3965	2720	6870	20	27	0	2762415	1023733	590090	0.308781185647 %	0.143327067669 %	0.590720938255 %	0.00107065405573 %	0.000722961249277 %	0.00166313507121 %
partialButterflyInverse16	2630148	1533508	219626	4863	57889	15096	36	106	4	2625249	1475513	204526	1.77602079903 %	0.184894538254 %	4.16311588276 %	0.00333083748661 %	0.00136874426838 %	0.0062744775927 %
TEncBinCABACCounter::encodeBin	2269755	1092845	672520	3975	80089	1288	2	13	1	2265778	1012743	671231	2.11522829556 %	0.17512903375 %	4.60964163218 %	0.000396518566982 %	8.81152371071e-05 %	0.000793037133964 %
partialButterfly16	2151900	1159200	194400	2474	16091	14973	26	84	76	2149400	1143025	179351	0.956725146199 %	0.114968167666 %	2.29491725768 %	0.00530594779632 %	0.00120823458339 %	0.0118203309693 %
fastForwardDst	2061544	943896	248888	9711	4614	15106	9	1	0	2051824	939281	233782	0.904364894995 %	0.471054704629 %	1.65327502716 %	0.00030728310115 %	0.000436565991315 %	8.38374760225e-05 %
partialButterfly8	2042940	1036480	268600	13057	13510	23709	17	38	11	2029866	1022932	244880	1.50166366987 %	0.639127923483 %	2.85185582493 %	0.0019713143888 %	0.000832134081275 %	0.00375455910749 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	1939433	541940	471716	24867	19172	119292	39	10	33472	1914527	522758	318952	5.53085260891 %	1.28217886362 %	13.659860939 %	1.13511648311 %	0.00201089699928 %	3.3030929625 %
TEncSbac::codeIntraDirLumaAng	1907244	659761	661324	38476	44404	1260	15	0	4	1868753	615357	660060	2.60630189798 %	2.01736117665 %	3.45655275777 %	0.000588539767787 %	0.00078647514424 %	0.000302781425873 %
TEncSbac::estSignificantCoefficientsBit	1894175	737917	375208	10090	29397	21964	8	3	7	1884077	708517	353237	2.04339440694 %	0.532685733895 %	4.614126895 %	0.000598543544043 %	0.000422347459976 %	0.000898371701291 %
partialButterflyInverse8	1893892	1001728	232372	10311	10883	15816	20	23	3	1883561	990822	216553	1.18318716928 %	0.544434423927 %	2.16343894336 %	0.0014705919964 %	0.00105602642601 %	0.00210679847662 %
