BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	7614390	2870420	1816990	238	11114	519	17	0	0	7614135	2859306	1816471	0.0964980734527 %	0.00312566075549 %	0.248175431635 %	0.000138191159017 %	0.000223261482535 %	0.0 %
TComPrediction::xPredIntraAng	3924807	1219917	509112	3472	5432	12737	37	4	44	3921298	1214481	496331	0.382766673812 %	0.088462948624 %	1.05082100994 %	0.00150340406054 %	0.000942721514714 %	0.00277612463412 %
TComTrQuant::xQuant	3435763	1197110	437546	2372	2107	9456	16	0	1469	3433375	1195003	426621	0.274829358284 %	0.0690385221565 %	0.707365953448 %	0.0292875204199 %	0.000465689862776 %	0.0898660023883 %
TEncSearch::xIntraCodingTUBlock	2419243	894176	479989	13822	15509	19496	69	7	1854	2405352	878660	458639	1.28715392597 %	0.57133574428 %	2.54736512719 %	0.0508777331624 %	0.00285213184455 %	0.135427696092 %
partialButterflyInverse32	2325320	1279120	167600	789	640	5383	47	32	18	2324484	1278448	162199	0.180591934338 %	0.0339308138235 %	0.416321057288 %	0.00257155279371 %	0.00202122718594 %	0.00345609378456 %
__memcpy_ssse3	2118188	630807	512981	5333	101859	102336	69	24718	54965	2112786	504230	355680	6.42334584926 %	0.251771797404 %	17.8525216211 %	2.44489842966 %	0.00325750122274 %	6.9665882139 %
partialButterfly32	1816680	1040960	109200	454	700	5242	37	32	467	1816189	1040228	103491	0.215582909763 %	0.0249906422705 %	0.516623774084 %	0.0180663601677 %	0.00203668229958 %	0.0433852681366 %
TEncSbac::codeCoeffNxN	1441499	539967	361850	7635	3485	2461	49	15	30	1433815	536467	359359	0.579563319672 %	0.529656975135 %	0.659335541468 %	0.00401140947273 %	0.00339923926413 %	0.00498992589406 %
partialButterflyInverse16	1323900	771900	110550	1590	1165	1592	36	16	8	1322274	770719	108950	0.197022231287 %	0.120099705416 %	0.31242563318 %	0.00271942348222 %	0.00271923861319 %	0.00271970083291 %
TComTrQuant::xDeQuant	1108127	420762	57703	1322	231	591	11	0	0	1106794	420531	57112	0.135132409592 %	0.119300405098 %	0.171799400165 %	0.000693309937274 %	0.000992666003084 %	0.0 %
partialButterfly16	1090296	587328	98496	605	939	5260	26	16	152	1089665	586373	93084	0.383082224174 %	0.0554895184427 %	0.903876213139 %	0.0109226854041 %	0.00238467351985 %	0.0244960806271 %
_int_malloc	1078537	188467	206076	419	1116	6071	71	2	5098	1078047	187349	194907	0.516333125153 %	0.0388489221974 %	1.82160119429 %	0.35103320933 %	0.00658299158953 %	1.29263476985 %
TVideoIOYuv::read	1071438	161928	152569	35	30	9721	32	0	9720	1071371	161898	133128	0.706093720124 %	0.00326663792025 %	3.10050652311 %	0.703640502621 %	0.00298664038423 %	3.09064951335 %
_dl_lookup_symbol_x	823874	146574	54329	50	3521	56	9	3031	10	823815	140022	54263	0.353930660036 %	0.0060688891748 %	1.7804612176 %	0.297625727353 %	0.00109240005146 %	1.51366579892 %
TEncEntropy::countNonZeroCoeffs	756818	85890	1012	310	8166	0	2	0	0	756506	77724	1012	1.00459868203 %	0.0409609708014 %	9.39679178845 %	0.00023704546532 %	0.000264264327751 %	0.0 %
