BasketballPass__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComTrQuant::xRateDistOptQuant	963873099	365701539	204934099	7230414	21843687	22313052	183	1523	8069	956642502	343856329	182612978	3.34876900737 %	0.750141694742 %	7.73816706485 %	0.000637011687474 %	1.89859017945e-05 %	0.00168093251827 %
TComRdCost::xCalcHADs8x8	431833920	162789760	103046720	35003	585575	1250963	17	7	69	431798900	162204178	101795688	0.268255755153 %	0.0081056624732 %	0.69085251204 %	1.33300767812e-05 %	3.9366986271e-06 %	2.8589003285e-05 %
TComPrediction::xPredIntraAng	366870838	113882567	51783842	1151593	2580364	2507998	37	4	610	365719208	111302199	49275234	1.17174057498 %	0.313896031169 %	3.07145065238 %	0.000122244970407 %	1.00852932879e-05 %	0.000370624318899 %
TEncSearch::xIntraCodingTUBlock	287001264	107175408	59651154	4013854	7224423	3825328	72	2237	15874	282987338	99948748	55809952	3.31923344868 %	1.39854924123 %	6.6234962032 %	0.00400658552832 %	2.50869975263e-05 %	0.0108561848802 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	284052014	82554372	64071282	963104	20231788	19061941	2525	82131	145865	283086385	62240453	44863476	9.34732306575 %	0.339059028816 %	26.7986726252 %	0.0535251806927 %	0.00088892170291 %	0.155495299615 %
TEncSbac::codeCoeffNxN	138927479	49588791	37718928	1913999	1596287	726567	50	598	230	137013430	47991906	36992131	1.87276473221 %	1.37769648868 %	2.66053680775 %	0.000388091688544 %	3.59900002216e-05 %	0.000948369754111 %
TComTrQuant::getSigCtxInc	121272668	39168144	10496172	33057	980268	51398	5	33	0	121239606	38187843	10444774	0.622874567624 %	0.0272584091248 %	2.07727818098 %	2.2230414455e-05 %	4.12294054585e-06 %	6.64460978381e-05 %
partialButterflyInverse32	97314642	53531172	7014060	38524	849998	284632	47	110	0	97276071	52681064	6729428	0.743161621933 %	0.0395870541249 %	1.8740204018 %	9.94552928631e-05 %	4.82969459005e-05 %	0.000181682349487 %
TComRdCost::xCalcHADs4x4	82992000	30794400	17908800	116827	12142	865638	20	27	0	82875153	30782231	17043162	0.755234055607 %	0.140768989782 %	1.80230457136 %	3.56884685243e-05 %	2.40987083092e-05 %	5.54378357069e-05 %
fillReferenceSamples	82141639	23149387	11001163	1613816	1112105	1574846	51	3340	491	80527772	22033942	9425826	3.69824236433 %	1.96467470049 %	7.86795820272 %	0.00333814337264 %	6.2087877258e-05 %	0.0112179745275 %
