BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	27763341108	10466032024	6625049828	553648	122116888	36495440	4143	9584	546	27762783317	10343905552	6588553842	0.35485012513 %	0.00199416920985 %	0.92804147434 %	3.18207192471e-05 %	1.49225555522e-05 %	5.92706774663e-05 %
void	19757294456	11592822444	779155716	635802	131246153	59751498	3382	16056	84786	19756655272	11461560235	719319432	0.596445040292 %	0.00321806207533 %	1.54379233886 %	0.000324389541107 %	1.71177283789e-05 %	0.000815083883077 %
TComTrQuant::xRateDistOptQuant	10522510031	3955256291	2344436686	24876344	225977568	232967820	31278	2817409	1124604	10497602409	3726461314	2110344262	2.87609019918 %	0.236410741607 %	7.28520246424 %	0.0236193261852 %	0.000297248469309 %	0.0625746844234 %
TComInterpolationFilter::filterHor	10436748445	5667879641	534495194	1429653	50856774	44044377	8721	342774	67231	10435310071	5616680093	490383586	0.578941584716 %	0.0136982605984 %	1.53007764807 %	0.00251651480041 %	8.35605078148e-05 %	0.00661045181736 %
TComRdCost::xGetSAD16	4664437380	1260940210	81363790	89452	33730785	1059398	1314	88674	23	4664346614	1227120751	80304369	0.580674825058 %	0.00191774468628 %	2.59182592021 %	0.00149849967404 %	2.81706000735e-05 %	0.00660781760317 %
TComRdCost::xGetSAD8	4489374160	1294745092	160573652	325016	30251072	1288207	1361	162036	29	4489047783	1264331984	159285416	0.536012465481 %	0.00723967280107 %	2.16717328283 %	0.00274910752564 %	3.03160296178e-05 %	0.0111360484202 %
TComInterpolationFilter::filterCopy	4281301536	1101137362	437795044	767161	35212046	44786192	2479	487988	109597	4280531896	1065437328	392899255	1.38766585338 %	0.0179188733508 %	5.19829445972 %	0.0103099635853 %	5.79029526221e-05 %	0.0388311401898 %
TComRdCost::xGetSAD32	3371098110	876497285	25217735	39549	23702323	928445	899	62095	23	3371057662	852732867	24289267	0.577378795875 %	0.0011731785522 %	2.73154682507 %	0.00147483632171 %	2.66678681743e-05 %	0.00688887271724 %
TComRdCost::xCalcHADs4x4	2888209760	1071677832	623245264	907772	10353868	2607815	3935	1666	0	2887298053	1061322298	620637449	0.302619527641 %	0.0314302656466 %	0.764735758843 %	0.000122208981847 %	0.000136243567018 %	9.82935452312e-05 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	2645403894	886719244	715935593	3283114	205489514	189540797	23293	653018	1384157	2642097487	680576712	525010639	9.37636342203 %	0.12410634185 %	24.6484958508 %	0.0485037550202 %	0.000880508267672 %	0.127112523107 %
