BasketballPass__QP_32_nF_3_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	4403456664	1659984592	1050778424	177868	16029071	5368512	655	416	36312	4403278141	1643955105	1045373600	0.303272206517 %	0.00403928126406 %	0.789356460661 %	0.000525468732784 %	1.48746780082e-05 %	0.00135489527425 %
TComTrQuant::xRateDistOptQuant	3581710233	1347150834	793939302	11182004	71234397	77139290	2010	11239	61364	3570526219	1275905198	716738648	2.78807018788 %	0.312197337936 %	6.92981974487 %	0.00130378477649 %	5.61184425664e-05 %	0.00339093617682 %
void	2735044852	1604926382	107685122	185813	16695346	8445992	55	0	37666	2734858984	1588231036	99201464	0.569449367774 %	0.00679378255403 %	1.46801174354 %	0.000848109588078 %	2.01093594351e-06 %	0.00219933125008 %
TComInterpolationFilter::filterHor	1591004054	860560963	84258851	336722	8526008	7245096	187	81679	14479	1590667145	851953276	76999276	0.635210757469 %	0.0211641195479 %	1.66921816904 %	0.00379935693546 %	1.17535841301e-05 %	0.0101773902891 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	1145464421	304560144	244523289	1543233	69799698	59781191	8044	352164	591427	1143913144	234408282	184150671	7.73800053451 %	0.134725528939 %	23.5994898429 %	0.0561586382913 %	0.000702247913818 %	0.17184838283 %
TComInterpolationFilter::filterCopy	682040918	170960895	72609702	196351	6082112	7671765	53	83814	20204	681844514	164794969	64917733	1.50713639296 %	0.0287887419681 %	5.64677229904 %	0.0112434858808 %	7.77079477217e-06 %	0.0427054830432 %
TComRdCost::xGetSAD16	616341258	166618164	10757282	24932	2312045	64320	249	16405	3851	616316077	164289714	10689111	0.30253829709 %	0.00404516161727 %	1.33973729374 %	0.00258341545499 %	4.03996968835e-05 %	0.0114198444355 %
TComRdCost::xGetSAD8	595995816	171877484	21288260	80643	2738798	161415	199	31714	11661	595914974	169106972	21115184	0.377724429456 %	0.013530799686 %	1.50141165817 %	0.00552155632112 %	3.33894961437e-05 %	0.0224548095857 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	529354337	98890562	208349082	1167896	3978388	76803753	3049	4129	209175	528183392	94908045	131336154	9.79567614173 %	0.22062651014 %	26.2928767747 %	0.0258611709997 %	0.000575984701907 %	0.0694259364524 %
TComRdCost::xCalcHADs4x4	506384960	187895472	109272544	289484	1330428	401467	627	306	958	506094849	186564738	108870119	0.251555163178 %	0.0571667847323 %	0.582799933624 %	0.000235329848371 %	0.000123818843277 %	0.000425348601446 %
