BasketballDrill__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComTrQuant::xRateDistOptQuant	3874062831	1477712589	829668104	25969331	77483175	80179236	2805	1071	84830	3848090695	1400228343	749404038	2.9706935166 %	0.670338405258 %	6.83296048538 %	0.00143503697244 %	7.24046078333e-05 %	0.00372287937836 %
TComRdCost::xCalcHADs8x8	1850372160	697540480	441546560	140777	4006646	5558414	507	5917	43	1850230876	693527917	435988103	0.324668655789 %	0.00760803707725 %	0.839712828266 %	0.000216326752344 %	2.73998934355e-05 %	0.000523226038986 %
TComPrediction::xPredIntraAng	1518087081	472768936	212599454	4538520	6342272	11977495	614	32	61308	1513547947	466426632	200560651	1.03738365948 %	0.298963086954 %	2.67298102266 %	0.00281167469982 %	4.04456376505e-05 %	0.0089499312917 %
TEncSearch::xIntraCodingTUBlock	1160431796	432681110	240853962	15234544	33969651	15528108	1451	49364	406787	1145195801	398662095	224919067	3.52963317547 %	1.31283407198 %	7.34895049385 %	0.0249514867463 %	0.000125039662391 %	0.0677249068331 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	1055867697	326826184	253987166	3501770	70837551	63145468	2780	283057	556735	1052363147	255705576	190284963	8.40021879963 %	0.331648558806 %	23.0681713841 %	0.0514805252706 %	0.000263290562624 %	0.144588963046 %
TComTrQuant::getSigCtxInc	481889710	153161594	40664392	123960	3347003	106557	67	30	0	481765683	149814561	40557835	0.529441601132 %	0.025723728361 %	1.78178379033 %	1.43551497433e-05 %	1.39035963229e-05 %	1.5477800794e-05 %
TEncSbac::codeCoeffNxN	459116118	162714286	123073776	6260721	6102267	2675485	910	2197	7210	452854487	156609822	120391081	2.01884663877 %	1.36364652743 %	3.07142010711 %	0.00138501035126 %	0.000198206938141 %	0.00329160005291 %
partialButterflyInverse32	432742052	238044232	31190360	171592	3812539	1238396	462	162	0	432569998	234231531	29951964	0.743974467618 %	0.0396522591708 %	1.87603493388 %	8.88918463789e-05 %	0.000106761059588 %	6.0170574218e-05 %
partialButterfly32	338174982	193774704	20327580	127219	4564949	2012729	460	192	28248	338047303	189209563	18286603	1.21404544651 %	0.037619281961 %	3.07221290549 %	0.00523287880548 %	0.000136024255041 %	0.0132833706716 %
TComRdCost::xCalcHADs4x4	331968000	123177600	71635200	460818	54646	843759	658	4345	0	331506524	123118609	70791441	0.258024400282 %	0.138813982071 %	0.461163229521 %	0.000949730893761 %	0.000198211875843 %	0.00223034626062 %
fillReferenceSamples	321172967	90675945	43121550	5965486	4532247	6668363	695	14441	5858	315206786	86129257	36447329	3.7730132907 %	1.85740601263 %	8.37131517298 %	0.00461436549259 %	0.000216394301953 %	0.0151714350108 %
TComTrQuant::xDeQuant	302378936	114383142	17430512	1473087	1186189	1627736	195	0	0	300905654	113196953	15802776	0.987352639989 %	0.487165878512 %	2.13477505145 %	4.4910946085e-05 %	6.44886190088e-05 %	0.0 %
TEncBinCABACCounter::encodeBin	247192506	119018614	73242224	490677	8744103	464593	40	169	437	246701789	110274342	72777194	2.20714511163 %	0.198499949671 %	4.7896888913 %	0.000147000815632 %	1.6181720331e-05 %	0.000315196795304 %
fastForwardDst	247105198	113139282	29832746	1050602	562882	1867068	266	7	505	246054330	112576393	27965173	0.892272547078 %	0.425163860778 %	1.69959818993 %	0.000199447685777 %	0.00010764646076 %	0.000358112007756 %
partialButterfly8	238098192	120798464	31304480	1509686	1511233	2662242	368	29	859	236588138	119287202	28641379	1.4564696193 %	0.634060253595 %	2.74384892905 %	0.000321885275085 %	0.000154558082491 %	0.000583815129837 %
partialButterflyInverse16	229705476	133929796	19181162	441609	926972	990388	523	86	32	229263344	133002738	18190742	0.616214140901 %	0.192250096815 %	1.25226830597 %	0.000167443177217 %	0.000227682861161 %	7.70682918724e-05 %
TEncSbac::codeIntraDirLumaAng	229353100	79313545	80252417	4504395	3434206	1342189	497	859	1736	224848208	75878480	78908492	2.38630370861 %	1.96395644968 %	2.99336709417 %	0.000795024029961 %	0.00021669643881 %	0.00162628668889 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	226896201	65539053	50669179	2691592	4524917	12152102	955	1409	269777	224203654	61012727	38247300	5.64510660228 %	1.18626578503 %	14.3509790253 %	0.0793172497424 %	0.000420897307135 %	0.233362125327 %
TEncSbac::estSignificantCoefficientsBit	224934310	87642290	44532840	1029163	4261829	3477957	137	30	42	223905010	83380431	41054841	2.45553547954 %	0.457539358936 %	5.85570522987 %	5.85254761117e-05 %	6.09066709298e-05 %	5.4473182663e-05 %
partialButterfly16	219967218	118493424	19871568	252401	712390	1365991	392	80	8370	219714425	117780954	18497207	0.650452829792 %	0.114744825295 %	1.50210032896 %	0.00246754261918 %	0.000178208372849 %	0.0061070360919 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	216794680	46333764	62202784	1992159	1593489	27973205	204	290	130382	214802317	44739985	34099197	9.70052988581 %	0.918915076698 %	27.2412330637 %	0.0402285390199 %	9.40982500124e-05 %	0.120394468414 %
TEncSbac::estLastSignificantPositionBit	208529524	83193564	34395226	3471485	3485944	2066395	219	39	30	205057820	79707581	32328801	2.76703993999 %	1.66474508425 %	4.72182679999 %	8.83115077064e-05 %	0.000105021100034 %	5.86790628596e-05 %
partialButterflyInverse8	176591272	93403648	21666952	900138	991797	1457006	492	28	26	175690642	92411823	20209920	1.1482272184 %	0.509729608834 %	2.1280874524 %	0.000187203077405 %	0.000278609466044 %	4.69277122045e-05 %
