BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_1_MSizeLL_16777216_AssLL_4_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	27763341108	10466032024	6625049828	690085	105557223	28656421	405	3111	3593	27762650618	10360471690	6596389814	0.300759033552 %	0.00248559781517 %	0.785284659931 %	1.58490501736e-05 %	1.45875814595e-06 %	3.9225135413e-05 %
void	19757294456	11592822444	779155716	768314	241234258	63155297	71	9042	49453	19756526071	11351579144	715950966	0.949781442758 %	0.00388876119507 %	2.46031435768 %	0.000182282371282 %	3.59360944679e-07 %	0.000472802321856 %
TComTrQuant::xRateDistOptQuant	10522510031	3955256291	2344436686	23781919	232755185	253733958	4813	2100	51262	10498723299	3722499006	2090651466	3.03331889264 %	0.22600994373 %	7.72242623214 %	0.000345822719963 %	4.57400371757e-05 %	0.000847057153338 %
TComInterpolationFilter::filterHor	10436748445	5667879641	534495194	1289521	52106011	46425205	184	168868	32366	10435458740	5615604762	488037623	0.599915844845 %	0.0123555818826 %	1.58860466549 %	0.0012105084902 %	1.76300119687e-06 %	0.00324446692361 %
TComRdCost::xGetSAD16	4664437380	1260940210	81363790	88014	21823020	711514	111	34597	1087	4664349255	1239082593	80651189	0.376619311018 %	0.00188691567342 %	1.67879511646 %	0.000595913786453 %	2.37970822539e-06 %	0.00265841418933 %
TComRdCost::xGetSAD8	4489374160	1294745092	160573652	324461	27409851	1178912	100	48870	1371	4489049599	1267286371	159393369	0.486370355322 %	0.00722731027614 %	1.96443309192 %	0.000846822549339 %	2.22748197045e-06 %	0.00345223341671 %
TComInterpolationFilter::filterCopy	4281301536	1101137362	437795044	797971	35554348	46460112	72	170838	49318	4280503493	1065412176	391285614	1.42283681078 %	0.018638514323 %	5.32930879097 %	0.00378383415847 %	1.6817315808e-06 %	0.0143057615228 %
__memcpy_ssse3	3404695847	885079216	712587263	5670024	202303604	158072936	224962	671162	1154718	3398800861	682104450	553359609	7.31747402817 %	0.166535404477 %	22.5564311912 %	0.0409974701221 %	0.00660740371855 %	0.114284177831 %
TComRdCost::xGetSAD32	3371098110	876497285	25217735	35974	20006491	933093	138	19836	12	3371061998	856470958	24284630	0.490907450474 %	0.00106713002191 %	2.32219532065 %	0.00046774804776 %	4.09362158849e-06 %	0.00220113889197 %
TComRdCost::xCalcHADs4x4	2888209760	1071677832	623245264	810537	8525568	2589428	441	180	46	2887398782	1063152084	620655790	0.260204828764 %	0.0280636472886 %	0.655781729934 %	1.45533638443e-05 %	1.52689740928e-05 %	1.33339383087e-05 %
__memset_sse2	2307305767	326529415	1085056605	1666719	19452700	408504440	28836	6536	608433	2305610212	307070179	675943732	11.5524700262 %	0.0722365896986 %	30.3174680067 %	0.0173117433062 %	0.00124976933757 %	0.043565818256 %
