BasketballPass__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	16925806746	6380573388	4038934386	379077	62003414	18290680	3679	154498	353440	16925423990	6318415476	4020290266	0.29501643121 %	0.00223963918346 %	0.77061312052 %	0.00187094940753 %	2.17360392636e-05 %	0.00487487519581 %
void	11847729169	6953145607	464988920	390224	61905844	37413725	2326	1	86177	11847336619	6891239762	427489018	0.517546446779 %	0.00329366070437 %	1.33887527435 %	0.000459382467335 %	1.9632454176e-05 %	0.00116172064131 %
TComTrQuant::xRateDistOptQuant	7620202562	2868536118	1690022863	19719067	179224420	166258703	23108	67100	492605	7600460387	2689244598	1523271555	2.99868084871 %	0.258773527863 %	7.57877926862 %	0.00478548658615 %	0.000303246531992 %	0.0122781124986 %
TComInterpolationFilter::filterHor	6332399045	3438300962	324726829	834734	31554738	27552210	4469	347488	66818	6331559842	3406398736	297107801	0.593750843563 %	0.0131819551179 %	1.57072844748 %	0.00414816537035 %	7.05735688519e-05 %	0.0110099107158 %
TComRdCost::xGetSAD16	2724061860	736402935	47532395	60132	10826490	283262	1182	90164	6400	2724000546	725486281	47242733	0.31841199964 %	0.0022074388575 %	1.41717710312 %	0.00278637623424 %	4.33910851055e-05 %	0.0123178528004 %
TComRdCost::xGetSAD8	2627642928	757762166	93804374	210668	12403992	666921	1074	208152	41132	2627431186	745150022	93096321	0.381741344468 %	0.00801737548718 %	1.53492562073 %	0.00719583003848 %	4.0873133429e-05 %	0.0292735785509 %
TComInterpolationFilter::filterCopy	2598361258	665024827	267539530	550170	20986939	27232985	1617	373554	122066	2597809471	643664334	240184479	1.38122688829 %	0.021173730108 %	5.17068056891 %	0.0140823414089 %	6.2231531317e-05 %	0.0531459299597 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	2451250083	637660118	513559919	2590754	146484526	130923608	46967	1301493	2671575	2448612362	489874099	379964736	7.77241389028 %	0.105691133596 %	24.0968820107 %	0.111591071295 %	0.00191604277041 %	0.345118037587 %
TComRdCost::xGetSAD32	1993408818	518254273	14812831	25877	10341582	213682	783	48803	2351	1993382158	507863888	14596798	0.418810284629 %	0.00129812809928 %	1.98010042653 %	0.00205570928057 %	3.92794489986e-05 %	0.00959616521375 %
TComRdCost::xCalcHADs4x4	1781745520	661121364	384481928	582673	6027138	1737711	3402	25766	28408	1781159445	655068460	382715809	0.295242029019 %	0.0327023693036 %	0.742619027638 %	0.00203639535934 %	0.000190936357735 %	0.00518112370289 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	1481797862	224684787	671534309	2126936	8510317	258210040	34610	6819	3385706	1479636316	216167651	409938563	11.3055246345 %	0.143537526578 %	29.7606197179 %	0.144117349057 %	0.00233567620035 %	0.378537459773 %
TComRdCost::xGetSAD64	998785398	254475467	3024325	8719	9064290	88439	636	18629	411	998776043	245392548	2935475	0.729249064856 %	0.000872960299325 %	3.55446073525 %	0.00156620488378 %	6.36773426277e-05 %	0.00739418073006 %
TEncSearch::xEstimateResidualQT	939949921	368609243	313060676	8721699	58015297	13625137	8690	224318	22854	931219532	310369628	299412685	4.95567031296 %	0.927889752969 %	10.5095489772 %	0.0157781740016 %	0.000924517339259 %	0.0362597780994 %
TComTrQuant::getSigCtxInc	745995741	231551751	61427080	179518	9898027	1593921	761	832	737	745815462	221652892	59832422	1.12336397007 %	0.0240642124524 %	3.92244994656 %	0.000224259578896 %	0.000102011306255 %	0.00053553357239 %
partialButterfly16	695164122	374475696	62800272	614356	2589847	4454299	2465	2076	317717	694547301	371883773	58028256	0.676283193047 %	0.0883756771325 %	1.61091542081 %	0.0284569579306 %	0.000354592523116 %	0.0731329922984 %
partialButterfly32	665177382	381147504	39983580	242185	4477223	3402260	2403	2624	347269	664932794	376667657	36234051	0.747639206929 %	0.0364090852386 %	1.87102859403 %	0.0324305674701 %	0.000361257021815 %	0.0830841068953 %
TComInterpolationFilter::filterVer	631689444	336803212	64507544	919419	4879209	3025802	4402	11264	11435	630765623	331912739	61470307	0.854252496757 %	0.145549210729 %	1.96979793883 %	0.00262352320939 %	0.000696861415338 %	0.00565621520496 %
TEncSbac::codeCoeffNxN	594665423	213050057	157692318	4927662	6329544	2927072	2429	56590	141738	589735332	206663923	154623508	1.46925247853 %	0.828644446005 %	2.49677852444 %	0.0207950464473 %	0.000408464979811 %	0.0534948291249 %
TComRdCost::xGetHADs	556309814	213011744	178154080	483649	1990689	790833	2379	0	0	555823786	211021055	177363247	0.34461793729 %	0.0869387862354 %	0.711085127928 %	0.000251088250145 %	0.000427639408856 %	0.0 %
TComPrediction::xPredIntraAng	548267853	170487199	74957703	1462857	3073116	3756735	1766	8119	83682	546803230	167405964	71117286	1.04479963913 %	0.266814293779 %	2.78264121371 %	0.0117885216548 %	0.00032210533416 %	0.0374018768579 %
