BasketballPass__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs8x8	144695165400	54546181200	34528001400	2411913	676656321	197852436	26370	49763	52853	144692727117	53869475116	34330096111	0.375122178122 %	0.00166689259681 %	0.981775786736 %	5.51766093817e-05 %	1.82245204441e-05 %	0.000115202853402 %
void	104022921196	61036976536	4101163708	2901110	729899103	334456312	13003	36324	280554	104020007083	60307041109	3766426842	0.630911461488 %	0.0027889141803 %	1.63399724188 %	0.000195010008327 %	1.25001296354e-05 %	0.00048647075095 %
TComInterpolationFilter::filterHor	53953828074	29281924607	2751951552	6874426	273334358	250315797	30594	1613707	205426	53946923054	29006976542	2501430329	0.616977259403 %	0.0127413127954 %	1.63467621714 %	0.00215115290785 %	5.67040395318e-05 %	0.00567877889947 %
TComTrQuant::xRateDistOptQuant	44061594543	16566706912	9840376439	86756752	1068007951	960987868	134654	242086	442310	43974703137	15498456875	8878946261	3.00240139908 %	0.19689880246 %	7.68352866551 %	0.00116228943763 %	0.000305604010469 %	0.00259171371144 %
TComRdCost::xGetSAD16	25926892344	7009389922	453780346	402728	172115273	6730678	6801	565793	162	25926482815	6836708856	447049506	0.536832413532 %	0.00155332152676 %	2.39638041982 %	0.00171534868519 %	2.62314507646e-05 %	0.00758330548114 %
TComRdCost::xGetSAD8	24633553844	7104944898	882939182	1511200	145644294	6601083	9508	895009	35	24632033136	6958405595	876338064	0.4713359888 %	0.006134721809 %	1.90595376041 %	0.00277287592934 %	3.85977600318e-05 %	0.0112050198906 %
TComInterpolationFilter::filterCopy	22616562562	5841743987	2298212474	3531428	165160126	220754566	9582	2527458	401549	22613021552	5674056403	2077056359	1.26622300693 %	0.0156143445332 %	4.74099209067 %	0.00955436146009 %	4.23671810149e-05 %	0.0359830794432 %
TComRdCost::xGetSAD32	18851820304	4901449944	140795848	181907	112759035	3342654	4724	402177	3714	18851633673	4788288732	137449480	0.48666307163 %	0.000964930691395 %	2.30257892593 %	0.00171848105865 %	2.50585881035e-05 %	0.00804980591474 %
TComRdCost::xCalcHADs4x4	14926108160	5538371712	3220897024	3892852	58263345	8970654	23069	6464	0	14922192239	5480101903	3211926370	0.300298582169 %	0.026080824005 %	0.767575479488 %	0.000124688748377 %	0.000154554688689 %	7.37961146623e-05 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	14537924618	3726987217	2999902766	11875947	855018953	774263399	108541	3014897	8272885	14525940130	2868953367	2217366482	7.71771741157 %	0.0816894248117 %	24.220439997 %	0.053592392945 %	0.000746605879808 %	0.167800900989 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_sse2	11076032461	1425217539	5449388269	10464074	92002049	2033346414	39693	30895	6195221	11065528694	1333184595	3409846634	11.8982540063 %	0.0944749307737 %	30.9159320892 %	0.0349057727425 %	0.000358368397165 %	0.0905668801076 %
TComRdCost::xGetSAD64	9519084792	2425305820	28790692	61405	87440055	855339	3918	254360	2464	9519019469	2337611405	27932889	0.7379559096 %	0.000645072518438 %	3.59787781647 %	0.00217771696076 %	4.11594190577e-05 %	0.0104651140957 %
TEncSearch::xEstimateResidualQT	6093422338	2389975979	2029523676	55290266	324223205	86066243	46657	231355	56557	6038085415	2065521419	1943400876	4.42864233474 %	0.907376231829 %	9.28361760445 %	0.00318245488954 %	0.00076569450486 %	0.00651458360618 %
TComRdCost::xGetHADs	4687253244	1793309586	1503382600	3503599	31570593	15580552	15612	0	0	4683734033	1761738993	1487802048	0.634457542879 %	0.0747473801311 %	1.43025621865 %	0.000195542418681 %	0.000333073533417 %	0.0 %
TComRdCost::xGetComponentBits	4645367728	491100820	0	331282	0	0	1280	0	0	4645035166	491100820	0	0.00644960631812 %	0.00713144834591 %	0.0 %	2.49198449876e-05 %	2.75543310013e-05 %	0.0 %
TComRdCost::xGetSAD4	4551265848	1429972620	260797588	1444258	41662533	3635284	7393	344785	0	4549814197	1387965302	257162304	0.74882737909 %	0.0317331056509 %	2.67912320584 %	0.005642037259 %	0.000162438324785 %	0.020392185666 %
TComTrQuant::getSigCtxInc	4342961452	1346088641	356561664	918101	47807943	1827639	2865	1304	237	4342040486	1298279394	354733788	0.836204589907 %	0.021139975801 %	2.91519531957 %	7.28793077871e-05 %	6.59688102615e-05 %	9.05059597661e-05 %
partialButterfly16	4079170332	2197394976	368507232	3551815	36092774	26350701	16531	7666	19177	4075601986	2161294536	342137354	0.99314626895 %	0.0870719953059 %	2.43358748456 %	0.000652724251525 %	0.000405253977024 %	0.00104614275308 %
TComInterpolationFilter::filterVer	4078121767	2079070143	491430600	7070310	37541304	19024469	29800	55904	10696	4071021657	2041472935	472395435	0.957131840532 %	0.17337172365 %	2.20057407702 %	0.00144992439945 %	0.000730728548646 %	0.00259093486673 %
partialButterfly32	3689222910	2113929520	221757900	1347904	43118929	22319431	14414	7962	1020779	3687860592	2070802629	198417690	1.10850220737 %	0.0365362579839 %	2.80167454941 %	0.0173140336182 %	0.000390705586288 %	0.0440444637922 %
TEncSbac::codeCoeffNxN	3343203631	1200204572	878892623	21397591	43046979	14501152	18788	34050	66223	3321787252	1157123543	864325248	1.45594507818 %	0.640032536505 %	2.76793846571 %	0.00219576530002 %	0.00056197593906 %	0.004822910648 %
partialButterfly8	3175401120	1611031040	417492800	15256119	20758284	36336810	19999	9552	11583	3160125002	1590263204	381144407	1.39032006718 %	0.480446986805 %	2.81461291576 %	0.000790441836041 %	0.000629810195444 %	0.00104189063906 %
