BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComTrQuant::xRateDistOptQuant	59515992	22696311	12529212	420243	1354564	1366570	175	258	1872	59095574	21341489	11160770	3.31573439585 %	0.706100975348 %	7.7248931123 %	0.00243293555101 %	0.000294038617385 %	0.00604675195312 %
TComRdCost::xCalcHADs8x8	31060680	11709040	7411880	2108	48875	78311	17	7	0	31058555	11660158	7333569	0.257652207184 %	0.00678671555162 %	0.665166738839 %	4.78262948969e-05 %	5.47315770292e-05 %	3.66091171345e-05 %
TComPrediction::xPredIntraAng	23581906	7303748	3288049	68383	164668	166468	37	4	49	23513486	7139076	3121532	1.16908313975 %	0.289980801382 %	3.12634390557 %	0.000263360397321 %	0.000156899955415 %	0.00050038723363 %
TEncSearch::xIntraCodingTUBlock	17831001	6647903	3685144	237509	452138	237380	72	350	2825	17593420	6195415	3444939	3.29152613289 %	1.33200037396 %	6.67293974372 %	0.0115288824959 %	0.000403791127599 %	0.0307266578774 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_ssse3	17274560	5022060	3920679	56270	1210864	1170233	322	38800	58002	17217968	3772396	2692444	9.29678911622 %	0.325739121575 %	26.6260370564 %	0.370457689024 %	0.00186401274475 %	1.08246477953 %
TEncSbac::codeCoeffNxN	8169576	2947615	2197959	113382	105295	44224	49	1	36	8056145	2842319	2153699	1.9744501564 %	1.38785660357 %	2.90577883051 %	0.000645880819968 %	0.00059978632918 %	0.000719064578607 %
partialButterflyInverse32	7557290	4157140	544700	2999	66118	22081	47	110	0	7554244	4090912	522619	0.743919021986 %	0.0396835373527 %	1.87584009664 %	0.00128067815579 %	0.000621916057211 %	0.00233950963878 %
TComTrQuant::getSigCtxInc	7505211	2375931	632560	2109	59883	3474	5	6	0	7503097	2316042	629086	0.622673155469 %	0.0281004757894 %	2.10593948927 %	0.000104625373631 %	6.66203788275e-05 %	0.000199435530969 %
partialButterfly32	5904210	3383120	354900	2188	114422	33499	37	144	466	5901985	3268554	320935	1.55678717475 %	0.0370583024655 %	3.95720194113 %	0.00671006603244 %	0.000626671476794 %	0.0163187997924 %
fillReferenceSamples	5387581	1473017	715247	100935	59902	93477	51	419	317	5286595	1412696	621453	3.3569060613 %	1.87347531295 %	7.00916342818 %	0.0103882801192 %	0.000946621498591 %	0.0336339673824 %
